"Charge Code",,"Charge Description","Fee Schedule"
"PC000253",,"INJ; ENOXAPERIN SODIUM 10MG",4
"PC000254",,"MENINGOCOCCAL IMMUN SEROGROUP",265
"PC000255",,"AZITHROMYCIN DIHYDRATE 1G",47
"PC000256",,"INJ; PIPERACILL/TAZOBACT 1.125",12
"PC000265",,"INJ; MEROPENEM 100MG",5
"PC000274",,"INJ; HEPATITIS A 2 DOSE-PEDS/ADOLESCENT",82
"PC000275",,"ROTAVIRUS VACCINE 3 DOSE",206
"PC000281",,"INJ; IBANDRONATE SODIUM 1MG",297
"PC000282",,"INJ; ABATACEPT 10MG",201
"PC000284",,"HPV VACCINE 4 VALENT INTRAMUSCULAR USE",435
"PC000285",,"HIB PRP-OMP 3 DOSE",64
"PC000286",,"INJ; BEVACIZUMAB 10MG",309
"PC000287",,"INFLUENZA OVER 3 YRS PRES FREE",31
"PC000288",,"TD OVER 7YRS",97
"PC000291",,"GLUCAGON 1 MG",847
"PC000292",,"HYDROMORPHONE 4 MG INJ",7
"PC000293",,"INJ; AMINOLEVULINIC ACID 354MG",1619
"PC000295",,"IMM GLOB (GAMMAGARD) IV 500MG",159
"PC000298",,"DIPYRIDAMOLE (PER 10MG)                03",4
"PC000299",,"KINEVAC (PER DOSE)",426
"PC000301",,"INJ; HYALGAN/SUPARTZ",355
"PC000302",,"INJ; ZOSTER VACCINE",422
"PC000304",,"INJ; RANIBIZUMAB 0.1MG",1492
"PC000306",,"ALBUTEROL CONCENTRATED 1MG",1
"PC000307",,"ALBUTEROL NONCOMPOUNDED 1 MG",1
"PC000311",,"ROTAVIRUS VACCINE 2 DOSE",223
"PC000312",,"DTAP-IPV 4-6YR",100
"PC000313",,"JAPANESE ENCEPHALITIS VIRUS VACCINE",470
"PC000314",,"INJ; BACLOFEN 50MCG INTRATHECAL TRIAL",184
"PC000315",,"INJECTION DAPTOMYCIN 1MG",2
"PC000316",,"METHOTREXATE SODIUM 5MG",2
"PC000318",,"TETRACYCLINE UP TO 250MG",27
"PC000319",,"ETONOGESTREL IMPLANT SYSTEM",1605
"PC000320",,"INJ; NATALIZUMAB 1MG",58
"PC000322",,"INJ; PLERIXAFOR 1MG",1258
"PC000323",,"ANASEPT 0.057% TOPICAL SOLN 473ML",24
"PC000326",,"HISTRELIN IMPLANT 50MG",13864
"PC000328",,"INJ ACETYLCYSTEINE 100MG",5
"PC000329",,"INJ; TRIAMCINOLONE ACETONIDE PF 1MG",16
"PC000331",,"ALBUTEROL TO 2.5MG W/0.5MG IPRAT BROM",1
"PC000332",,"PNEUMOCOCCAL VACCINE 13 VALENT",821
"PC000334",,"INJ; COSYNTROPIN 0.25MG (CORTROSYN)",139
"PC000335",,"INJ; OZURDEX DEXAMETHASONE .7MG",3075
"PC000336",,"INJ; HYALURONAN/EUFLEXXA",600
"PC000339",,"INJ; HYALURONAN/SYNVISC/SYNVISC-ONE",49
"PC000341",,"INJ; ERTAPENEM SODIUM 500MG",227
"PC000345",,"FLU VIRUS VACC-SPLIT 3 YR & OVER (FLUZONE)",31
"PC000346",,"INJ; PENICILLIN G BENZATHINE 100000 UNITS",52
"PC000350",,"FLUCONAZOLE 150MG TAB",5
"PC000351",,"MEDTRONIDAZOLE 500MG TAB",1
"PC000353",,"INJ; COSYNTROPIN 0.25MG",163
"PC000354",,"TYPHOID VACCINE LIVE ORAL",126
"PC000355",,"INTERFERON BETA-1A 30 MCG",3963
"PC000356",,"YELLOW FEVER VACCINE LIVE SUBQ",267
"PC000358",,"TYPHOID VACCINE VI CAPSULAR POLYSACCHARIDE IM",378
"PC000360",,"INJ; COLLANGENASE CLOSTRIDIUM HISTOLYTICUM 0.01MG",175
"PC000361",,"INJ; ANDRELIN EPINEPHRINE 0.1MG",3
"PC000362",,"BELIMUMAB INJECTION 10MG",175
"PC000363",,"INJ; DENOSUMAB 1MG",72
"PC000365",,"PENG BENZATHINE/PROCAINE INJ",41
"PC000366",,"FLU VIRUS VACC-SPLIT 3 YR & OVER (FLUVIRIN)",31
"PC000367",,"INFLUENZA VACCINE INTRADERMAL",31
"PC000368",,"INJ; TRIPTORELIN PAMOATE 3.75MG",1011
"PC000369",,"INJ; MEDROXYPROGESTERONE ACETATE 1MG",3
"PC000370",,"LEUPROLIDE ACETATE (LUPRON) 1MG",104
"PC000371",,"ADENOVIRUS VACCINE TYPE 4 LIVE ORAL",116
"PC000372",,"INJ; AFLIBERCEPT 1MG",3876
"PC000374",,"INFLUENZA VACC TRIVALENT PRSRV FREE 6-35 MO IM",31
"PC000375",,"INFLUENZA VIRUS VACCINE LIVE INTRANASAL",64
"PC000376",,"INFLUENZA VIRUS VAC QUADRIVALENT LIVE INTRANASAL",81
"PC000377",,"INTRAUTERINE COPPER CONTRACEPTIVE",1530
"PC000379",,"INFLUENZA VAC 4 VALENT PRSRV FREE 3 YRS PLUS IM",31
"PC000380",,"INJECTION USTEKINUMAB 1MG",740
"PC000381",,"INJECTION TOCILIZUMAB 1MG",19
"PC000383",,"EPIFIX PER SQUARE CENTIMETER",641
"PC000391",,"INJECTION, HYDRALAZINE HCL PER 20MG",14
"PC000392",,"INJECTION, ZOLEDRONIC ACID PER 1MG",59
"PC000393",,"5% DEXTROSE/NORMAL SALINE (500ML=1UNIT)",5
"PC000394",,"INJECTION, INTERFERON BETA-1A FOR IM USE, PER 1MCG",201
"PC000395",,"FILGRASTIM G-CSF INJECTION, PER 1 MCG",5
"PC000396",,"LORAZEPAM INJ 2 MG",4
"PC000397",,"CIPROFLOXACIN IV 200 MG",6
"PC000400",,"FLU VAC NO PRSV 4 VAL 6-35 M",31
"PC000401",,"FLU VACC PRSV FREE INC ANTIG IM",36
"PC000402",,"FLU VACCINE 4 VAL 6-35 MO IM",31
"PC000403",,"FLU VACC 4 VAL 3 YRS PLUS IM",31
"PC000404",,"RADICAVA PER 30MG",923
"PC000405",,"MISOPROSTOL ORAL 200 MCG",8
"PC000406",,"BPN/NLX ORAL +6MG BUT -/= TO 1",15
"PC000408",,"HEP B VACC ADULT 2 DOSE IM",21
"PC000410",,"NUSINERSEN (SPINRAZA)",4167
"PC000411",,"BUPRENOORPHINE ORAL 1 MG",2
"PC000412",,"INJ ARIPIPRAZOLE EXT REL 1MG",21
"PC000485",,"BELATACEPT INJECTION 1MG",16
"PC000590",,"STELARA INFUSION IV PER MG",49
"PC000694",,"CEFOXITIN SODIUM INJECTION 1 GM",20
"PC001071",,"INJ TESTOSTERONE CYPIONATE, 1MG",1
"PC001300",,"ECULIZUMAB INJECTION 10 MG",922
"PC001310",,"ACETAMINOPHEN INJECTION 10 MG",1
"PC001459",,"INJ IVIG PRIVIGEN 500 MG",159
"PC001561",,"GAMUNEX-C/GAMMAKED PER 500MG",157
"PC001572",,"FLEBOGAMMA INJECTION 500 MG",141
"PC002274",,"INJ MORPHINE PRESERVATIV FREE",56
"PC002796",,"ROMIPLOSTIM INJECTION 10 MCG",275
"PC003121",,"INJ TESTOSTERO ENANTHATE 1MG",1
"PC003380",,"INJECTION, VEDOLIZUMAB",77
"PC004882",,"BUPRENORPHINE-NALOX 2MG/0.5MG S",8
"PC004883",,"BUPRENORPHINE-NALOX 4MG/1MG SLB",15
"PC004885",,"BUPRENORPHINE-NALOX 12MG/3MG SB",30
"PC005351",,"MIFEPRISTONE ORAL 200MG         01",279
"PC007297",,"LEVONORGESTREL IU 52MG 3 YR - LILETTA",1197
"PC007298",,"LEVONORGESTREL IU 52MG 5 YR - MIRENA",1624
"PC007303",,"KYLEENA IUD",1720
"PC009026",,"INJ VEDOLIUMAB 1MG",51
"PC090376",,"RABIES IG, HEAT TREATED",1386
"PC090378",,"RSV IG, IM",2892
"PC090620",,"MENB RP W/OMV VACCINE IM",310
"PC090621",,"ENB RLP VACCINE IM",237
"PC090634",,"HEPA VACC PED/ADOL 3 DOSE",82
"PC090644",,"HIB-MENCY VACCINE 4 DOSE IM",69
"PC090651",,"9VHPV VACCINE 3 DOSE IM",396
"PC090673",,"FLU VACC RIV3 NO PRESERV",163
"PC090675",,"RABIES VACCINE",1150
"PC090682",,"RIV4 VACC RECOMBINANT DNA IM",31
"PC090756",,"CCIIV4 VACC ABX FREE IM",21
"PC092893",,"DERMAGRAFT PER SQ CM",134
"PC0J0180",,"AGALSIDASE BETA 1MG",689
"PC0J0202",,"INJECTION, ALEMTUZUMAB",7271
"PC0J0221",,"ALGLUCOSIDASE ALFA 10MG INJ",643
"PC0J0401",,"INJ ARIPIPRAZOLE EXT RELEASE 1 MG",21
"PC0J0585",,"INJECTION ONABOTULINUMTOXINA 1 UNIT",25
"PC0J0588",,"INCOBOTULINUMTOXIN A 1 UNIT",21
"PC0J1160",,"DIGOXIN INJ UP TO 0.5MG",17
"PC0J1458",,"GALSULFASE INJECTION 1MG",1121
"PC0J1602",,"SIMPONI ARIA (GOLIMUMAB)",97
"PC0J1725",,"HYDROXYPROGESTERONE CAPROATE 1 MG",6
"PC0J1786",,"IMIGLUCERASE INJ 10 UNITS",167
"PC0J2182",,"MEPOLIZUMAB  INJ 1MG       01",52
"PC0J2248",,"MICAFUNGIN SODIUM 1MG INJECTION",4
"PC0J2350",,"OCRELIZUMAB INJECTION, 1MG",229
"PC0J2426",,"PALIPERID PALMITATE EXT RLSE INJ 1MG",33
"PC0J3357",,"STELARA SUB CU INJ, 1MG",587
"PC0J7192",,"FACTOR VIII(ANTIHEMPHILIC FACTOR, RECOMBINANT) PER IV",6
"PC0J7638",,"DEXAMETHASONE COMP UNIT PER 1 MG",1
"PC0J9025",,"AZACITIDINE INJECTION",6
"PC0J9045",,"INJECTION CARBOPLATIN PER 50MG",14
"PC0J9070",,"CYCLOPHOSHMIDE-10CC-100GM         01",126
"PC0J9155",,"DEGARELIX INJECTION 1 MG",15
"PC0J9190",,"FLUOROURACIL INJECTION 500 MG",7
"PC0J9209",,"MESNA INJECTION 200 MG",10
"PC0J9260",,"METHOTREXATE SODIUM 50 MG",11
"PC0J9280",,"MITOMYCIN INJECTION",561
"PC0J9357",,"VALRUBICIN INJECTION 200 MG",4989
"PC0J9360",,"VINBLASTINE SULFATE-10CC-10MG",15
"PC0J9370",,"VINCRISTINE SULFATE-01MGM",19
"PC0S0119",,"ONDANSETRON 4 MG",39
"PE001173",,"MANNITOL 25% 50ML VIAL                                    02",114
"PE002751",,"SURGICELL ABSORB HEMOSTAT 2X14                            02",46
"PE002779",,"SPONGEABSORB GEL 8X12.5X10                                02",46
"PF000001",,"ARTERIAL PUNCTURE",182
"PF000002",,"BRONCHIAL CHALLENGE TESTING",1500
"PF000003",,"BRONCHIAL PROVOC W MULT SPIROM",708
"PF000004",,"BRONCHOSPSM EVAL: SPIRO-BRONCH",654
"PF000008",,"NONINVAS OX-O2 SAT; 1 DE-PF",269
"PF000009",,"PULSE OXIMETRY MULTIPLE DETERMINATIONS",237
"PF000010",,"O2 UPTAKE - CARDIO",681
"PF000013",,"PULMON STRESS TEST SIMPLE",840
"PF000014",,"PULSE OX SINGLE",269
"PF000015",,"PULSE OXIMETRY SINGLE READING",269
"PF000016",,"RESPIRATORY FLOW VOLUME LOOP",359
"PF000018",,"SPIROMETRY SIMPLE",521
"PF000019",,"SPIROMETRY PRE & POST DILATOR",654
"PF000021",,"VOLUME/PRESSURE/FLOW MSRNT",212
"PF000024",,"PULMON STRESS TEST COMPLEX",1172
"PF000027",,"MAXIMUM BREATHING CAPACITY",198
"PF000028",,"PLETHYSMOGRAPHY LUNG VOLUMES W/WO AIRWAY RESIST",566
"PF000029",,"GAS DILUT/WASHOUT LUNG VOL W/WO DISTRIB VENT&VOL",566
"PF000030",,"OXYGEN UPTAKE REST INDIRECT",339
"PF000031",,"DIFFUSING CAPACITY",624
"PF000032",,"PULMONARY COMPLIANCE STUDY",197
"PF000033",,"SPIROMETRY UP TO 2 YRS OLD",661
"PF000034",,"SPIRMTRY W/BRNCHDIL INF-2 YR",661
"PF000035",,"MEAS LUNG VOL THRU 2 YRS",525
"PF094617",,"EXERCISE TST BRNCSPSM",168
"PF094618",,"PULMONARY STRESS TEST",161
"PG000001",,"PT - MOBILITY CURRENT STATUS",0.01
"PG000002",,"PT - MOBILITY GOAL STATUS",0.01
"PG000003",,"PT - MOBILITY D/C STATUS",0.01
"PG000004",,"PT - BODY POS CURRENT STATUS",0.01
"PG000005",,"PT - BODY POS GOAL STATUS",0.01
"PG000006",,"PT - BODY POS D/C STATUS",0.01
"PG000007",,"PT - CARRY CURRENT STATUS",0.01
"PG000008",,"PT - CARRY GOAL STATUS",0.01
"PG000009",,"PT - CARRY D/C STATUS",0.01
"PG000010",,"PT - SELF CARE CURRENT STATUS",0.01
"PG000011",,"PT - SELF CARE GOAL STATUS",0.01
"PG000012",,"PT - SELF CARE D/C STATUS",0.01
"PG000013",,"PT - OTHER PT CURRENT STATUS",0.01
"PG000014",,"PT - OTHER PT GOAL STATUS",0.01
"PG000015",,"PT - OTHER PT D/C STATUS",0.01
"PG000016",,"PT - SUB PT CURRENT STATUS",0.01
"PG000017",,"PT - SUB PT GOAL STATUS",0.01
"PG000018",,"PT - SUB PT D/C STATUS",0.01
"PI000001","*","ABACAVIR 300 MG TAB",47.6103448275862
"PI000002","*","ABCIXAMAB 2MG/ML 5ML VIAL",3226.15
"PI000003","*","ACARBOSE 100 MG TAB",60.85
"PI000004","*","ACARBOSE 50 MG TAB",60.5
"PI000006","*","ACETAMINOPHEN 120 MG SUPP",4.57675350701403
"PI000007","*","ACETAMINOPHEN 160MG/5ML 120ML",4.64449975911354
"PI000008","*","ACETAMINOPHEN 325MG SUPP",4.7433908045977
"PI000009","*","ACETAMINOPHEN 325 MG TAB",2.10082556567525
"PI000011","*","ACETAMINOPHEN 650MG SUPP",5.23307692307692
"PI000012","*","ACETAMINOPHEN 80MG CHEW TAB",1.18333333333333
"PI000013","*","ACETAMINOPHEN/COD 300/30 TAB",64.0976190476191
"PI000016","*","ACETAZOLAMIDE 250 MG TAB",41.9747628083491
"PI000017","*","ACETAZOLAMIDE 500 MG VIAL",122.175581395349
"PI000018","*","ACETIC ACID 0.25% IRRIG SOLN",9
"PI000019","*","ACETIC ACID 2% OTIC SOLN",100.316666666667
"PI000020","*","ACETYLCHOLINE 1% OPTH SOLN",278.45
"PI000022","*","ACETYLCYSTEINE 20% ORAL SOLN 3",69
"PI000024","*","ACITRETIN 25 MG CAP",135.775
"PI000025","*","ACYCLOVIR 1 GM VIAL",0.364425997425997
"PI000026","*","ACYCLOVIR 200 MG CAP",35.5760088582677
"PI000028","*","ACYCLOVIR 400 MG TAB",59.8821428571429
"PI000029","*","ACYCLOVIR 5% OINT 15GM",1419.25
"PI000030","*","ACYCLOVIR 500 MG VIAL",0.864188711691126
"PI000031","*","ACYCLOVIR 800 MG TAB",59.7362068965517
"PI000032","*","ADENOSINE 3MG/ML 2ML VIAL",14.3257075471698
"PI000033","*","ALBENDAZOLE 200MG TAB",149.95
"PI000034","*","ALBUMIN 25% SOLN 100ML",349.609584295612
"PI000035","*","ALBUMIN 25% SOLN 50ML                                     01",470.827210056772
"PI000036","*","ALBUMIN 5% SOLN 250ML",287.533073291925
"PI000037","*","ALBUTEROL 0.083% NEB 3ML SOLN",17.7107377090533
"PI000044","*","ALCOHOL DEHYDRATED 5ML AMP",433.3
"PI000047","*","ALLOPURINOL 100 MG TAB",46.2058508604207
"PI000048","*","ALLOPURINOL 300 MG TAB",56.6082247557003
"PI000049","*","ALLOPURINOL 500 MG VIAL 30ML",18761.1
"PI000050","*","ALPRAZOLAM 0.25MG TAB",69.8689393939394
"PI000051","*","ALPRAZOLAM 0.5MG TAB",70.7287576020851
"PI000052","*","ALPRAZOLAM 1MG TAB",95.27
"PI000053","*","ALPROSTADIL 500MCG/ML INJ",1.07875
"PI000054","*","ALTEPLASE 100 MG W/DIL VIAL",360.764964305327
"PI000055","*","ALTEPLASE 50 MG W/DIL VIAL",382.316055045872
"PI000057","*","ALUM/MAG/SIMETH SUSP 15ML",53.6419285406802
"PI000061","*","ALUMINUM CHLORIDE 20% TOP SOLN",64.4
"PI000063","*","AMANTADINE 100 MG CAP",59.849
"PI000066","*","AMIKACIN 250MG/ML 2ML VIAL",17.1109467455621
"PI000067","*","AMIKACIN 250MG/ML 4ML VIAL",4.37139830508475
"PI000069","*","AMILORIDE 5 MG TAB",44.398224852071
"PI000070","*","AMINOCAPROIC ACID 25%  SYRUP",93.8530674846626
"PI000071","*","AMINOCAPROIC ACID 5000MG/20ML",100.95
"PI000074","*","AMINOPHYLLINE 25MG/ML 20ML VIAL",50.775
"PI000075","*","AMIODARONE 150MG/3ML AMP",17.9581632653061
"PI000076","*","AMIODARONE 200 MG TAB",39.4277224344978
"PI000077","*","AMITRIPTYLINE 10 MG TAB",55.7601449275362
"PI000078","*","AMITRIPTYLINE 150 MG TAB",60.15
"PI000079","*","AMITRIPTYLINE 25 MG TAB",52.3613821138211
"PI000080","*","AMITRIPTYLINE 50 MG TAB",40.7561456752656
"PI000081","*","AMITRIPTYLINE 75 MG TAB",59.0790476190476
"PI000082","*","AMLODIPINE 10 MG TAB",56.9167274867569
"PI000083","*","AMLODIPINE 2.5 MG TAB",55.6949477351916
"PI000084","*","AMLODIPINE 5 MG TAB",55.4089417360285
"PI000087","*","AMOXICILLIN 250 MG CAP",44.1479797979798
"PI000088","*","AMOXICILLIN 250MG/5ML SUSP",29.6025477707006
"PI000089","*","AMOXICILLIN 500MG CAP",47.6106290672451
"PI000090","*","AMPHOTERICIN B 50MG VIAL",446.75
"PI000091","*","AMPICILLIN 1GM VIAL",87.55
"PI000092","*","AMPICILLIN 250MG VIAL",114.31198156682
"PI000093","*","AMPICILLIN 2GM VIAL",25.6056497175141
"PI000094","*","AMPICILLIN 500MG VIAL",80.4666666666667
"PI000097","*","ANAGRELIDE 0.5 MG CAP",30.85
"PI000098","*","ANAGRELIDE 1MG CAP",60.2
"PI000099","*","ANASTROZOLE 1 MG TAB",101.600763358779
"PI000102","*","ANTI-THROMBIN III                                         01",16.9640256175663
"PI000106","*","ARGININE 10% SOLN",110.4
"PI000107","*","ARIPIPRAZOLE 10 MG TAB",77.76609375
"PI000108","*","ARIPIPRAZOLE 15MG TAB",74.6388888888889
"PI000109","*","ASCORBIC ACID 100MG/ML SOLN",60.15
"PI000110","*","ASCORBIC ACID 500 MG TAB",46.0516638225256
"PI000111","*","ASCORBIC ACID 500MG/ML INJ",14.0017039622254
"PI000113","*","ASPIRIN 300MG SUPP",5.91256830601093
"PI000114","*","ASPIRIN 325MG EC TAB",3.52450248756219
"PI000115","*","ASPIRIN 325MG TAB",4.5407306763285
"PI000116","*","ASPIRIN 600 MG SUPP",5.5
"PI000117","*","ASPIRIN 81MG CHEW TAB",3.60705692286539
"PI000119","*","ATENOLOL 100 MG TAB",48.45
"PI000120","*","ATENOLOL 25 MG TAB",45.3472081218274
"PI000121","*","ATENOLOL 50MG TAB",51.5283333333333
"PI000122","*","ATORVASTATIN 10 MG TAB",56.1006194081211
"PI000123","*","ATORVASTATIN 20 MG TAB",57.0948349514563
"PI000124","*","ATORVASTATIN 40 MG TAB",45.0071146245059
"PI000125","*","ATOVAQUONE 750MG/5ML SUSP",122.849569707401
"PI000126","*","ATOVAQUONE+PROGUANIL TAB",19.9
"PI000128","*","ATROPINE 0.1MG/ML 10ML SYR",0.956963503649635
"PI000129","*","ATROPINE 0.4MG/ML 1ML SDV",1.675
"PI000132","*","ATROPINE 1% OPH SOLN 15ML",234.585483870968
"PI000134","*","ATROPINE 1MG/ML 1ML SDV",0.903853658536585
"PI000139","*","AUGMENTIN 250MG-125MG TAB",38.3925
"PI000142","*","AUGMENTIN 500MG-125MG TAB",58.7550200803213
"PI000143","*","AUGMENTIN 875MG-125MG TAB",59.933734939759
"PI000147","*","AZATHIOPRINE 50 MG TAB",34.5473945409429
"PI000149","*","AZITHROMYCIN 250MG TAB",44.0358866103739
"PI000151","*","AZITHROMYCIN 600 MG TAB",67.8056818181818
"PI000153","*","AZTREONAM 1GM VIAL",138.817901234568
"PI000154","*","AZTREONAM 2GM VIAL",102.45
"PI000157","*","BACITRACIN OPTH OINT 3.5GM",293.97700729927
"PI000159","*","BACITRACIN TOP OINT 15GM",59.8208399366086
"PI000161","*","BACLOFEN 10 MG TAB",47.7981296296296
"PI000163","*","BALANCED SALT OPHTH SOLN 15ML",33.6323432343234
"PI000164","*","BALSALAZIDE 750 MG CAP",20.2166666666667
"PI000165","*","BATH OIL WITH LANOLIN 240ML",5
"PI000167","*","BECAPLERMIN TOP GEL 0.01% 15 G",5136.45
"PI000170","*","BENZOCAINE TOP 20% SPRAY",5.6875
"PI000172","*","BENZOIN COMPOUND TINCTURE",9
"PI000176","*","BENZTROPINE 0.5 MG TAB",60.4
"PI000177","*","BENZTROPINE 1 MG TAB",57.7881935483871
"PI000178","*","BENZTROPINE 1MG/ML 2ML AMP",154.8375
"PI000179","*","BENZTROPINE 2 MG TAB",59.759009009009
"PI000182","*","BETAMETHASONE DIPR 0.05% CRM 1",62.3
"PI000183","*","BETAMETHASONE DIPR 0.05% CRM 4",256
"PI000187","*","BETAMETHASONE DIPR 0.05% OINT",241.247101449275
"PI000188","*","BETAMETHSONE DIPR 0.05% OINT 5",290.15
"PI000189","*","BETAMETHASONE SUSP 6MG/ML 5ML",13.047955801105
"PI000190","*","BETAXOLOL 0.25% OPTH SOLN 15ML",1235.7
"PI000191","*","BETHANECHOL 10 MG TAB",60.3
"PI000192","*","BETHANECHOL 25 MG TAB",42.8003496503497
"PI000196","*","BISACODYL 10MG SUPP",58.3095939933259
"PI000197","*","BISACODYL 5 MG EC TAB",30.1173829623945
"PI000198","*","BIVALIRUDIN 250 MG VIAL",9.84177936932865
"PI000200","*","BLEOMYCIN 15 UNIT INJ",324.7
"PI000201","*","BOTULINUM TOX TYPE A 100 UNITS",30.9411596686661
"PI000206","*","BROMOCRIPTINE 2.5 MG TAB",30.1603658536585
"PI000207","*","BROMOCRIPTINE 5 MG CAP",62.6
"PI000210","*","BUMETANIDE 0.25MG/ML 10ML VIAL",42.2701257861635
"PI000212","*","BUMETANIDE 0.25MG/ML 4ML VIAL",32.3357651245552
"PI000213","*","BUPIVACAINE 0.25% 10ML VIAL",64.95
"PI000214","*","BUPIVACAINE 0.25% 30ML VIAL",57.6090909090909
"PI000215","*","BUPIVACAINE 0.25% W/ EPI 30ML",173.735897435897
"PI000216","*","BUPIVACAINE 0.5% 10ML VIAL",64.3
"PI000217","*","BUPIVACAINE 0.5% 30ML VIAL",78.4166666666667
"PI000219","*","BUPIVACAINE PF 0.75% / DEXTROS",1.79375
"PI000220","*","BUPROPION 100 MG SR TAB",60.4140476190476
"PI000221","*","BUPROPION 100 MG TAB",51.3290697674419
"PI000222","*","BUPROPION 150MG SR TAB",54.4126057529611
"PI000223","*","BUPROPION 75 MG TAB",46.8328413284133
"PI000224","*","BUSPIRONE 10 MG TAB",49.186231884058
"PI000225","*","BUSPIRONE 5 MG TAB",45.656380952381
"PI000229","*","BUTORPHANOL 10MG/ML NASAL SPRAY",111.85
"PI000230","*","BUTORPHANOL 1MG/1ML VIAL",101.15
"PI000231","*","BUTORPHANOL 2MG/1ML  VIAL",26.8
"PI000233","*","CAFFEINE/SOD BNZOATE 250MG/ML",64.45
"PI000234","*","CALAMINE LOTION 120ML",5
"PI000236","*","CALCIPOTRIENE 0.005% CREAM 60G",1282
"PI000239","*","CALCITONIN NASAL SPRAY 2ML",250.2
"PI000241","*","CALCITONIN-SALMON 400IU VIAL 2",10745
"PI000242","*","CALCITRIOL 0.25 MCG CAP",48.7391342756184
"PI000243","*","CALCITRIOL 0.5 MCG CAP",45.249518459069
"PI000244","*","CALCITRIOL 1 MCG/ML ORAL SOLN",109.851398601399
"PI000245","*","CALCITRIOL 1MCG/ML AMP",6.285
"PI000246","*","CALCIUM ACETATE 667 MG TAB",30.3735053037609
"PI000249","*","CALCIUM CARBONATE 1500 MG TAB",34.3105880462725
"PI000250","*","CALCIUM CHLORIDE 10% 10ML SDV",60.6271468144044
"PI000252","*","CALCIUM GLUCONATE 10% 10ML SDV",42.5476851851852
"PI000254","*","CALCIUM GLUCONATE 10% 50ML VIA",5.1875
"PI000255","*","CANDESARTAN 16MG TAB",62.45
"PI000256","*","CANDESARTAN 4MG TAB",62.8
"PI000260","*","CAPSAICIN 0.025% CREAM 60GM",63.85
"PI000261","*","CAPTOPRIL 12.5 MG TAB",60.05
"PI000262","*","CAPTOPRIL 25 MG TAB",6.5
"PI000263","*","CAPTOPRIL 50 MG TAB",61.2334905660377
"PI000264","*","CARBACHOL 0.01% 1.5ML BOTTLE",71.5857142857143
"PI000265","*","CARBAMAZAPINE 200MG/10ML SUSP",48.4
"PI000266","*","CARBAMAZEPINE 100 MG CHEW TAB",44.1596774193548
"PI000267","*","CARBAMAZEPINE 100 MG ER TAB",32.0052631578947
"PI000268","*","CARBAMAZEPINE 200 MG ER TAB",48.995625
"PI000269","*","CARBAMAZEPINE 200 MG TAB",45.4455555555556
"PI000270","*","CARBAMAZEPINE 400 MG ER TAB",49.8351648351648
"PI000271","*","CARBIDOPA 10MG & LEVODOPA 100M",43.5333333333333
"PI000272","*","CARBIDOPA 25MG & LEVODOPA 100M",38.6054475703325
"PI000273","*","CARBIDOPA 25MG & LEVODOPA 250M",51.3387096774194
"PI000274","*","CARBIDOPA 50MG & LEVODOPA 200M",57.8130841121495
"PI000275","*","CARBOPLATIN 150MG INJ SDV",200.06960960961
"PI000276","*","CARBOPLATIN 450MG INJ SDV",74.7333769063181
"PI000277","*","CARBOPLATIN 50MG INJ SDV",154.245544554455
"PI000278","*","CARBOPROST 250 MCG/ML INJ 1ML",1137.55
"PI000279","*","CARISOPRODOL 350 MG TAB",17.3026315789474
"PI000280","*","CARMUSTINE 100MG W/3ML DIL VIA",17838.25
"PI000281","*","LEVOCARNITINE 200MG/ML AMP",380.77962962963
"PI000282","*","CARNITINE ORAL SOLN 4OZ",24.6598352713178
"PI000285","*","CARVEDILOL 12.5 MG TAB",51.2717791411043
"PI000286","*","CARVEDILOL 25 MG TAB",56.9449181739879
"PI000287","*","CARVEDILOL 3.125 MG TAB",56.5949777237748
"PI000288","*","CARVEDILOL 6.25 MG TAB",54.6820677570094
"PI000289","*","CEFAZOLIN 1G VIAL",17.1059785899654
"PI000291","*","CEFAZOLIN 500MG VIAL",48.0277777777778
"PI000295","*","CEFDINIR 300 MG CAP",60.8689655172414
"PI000296","*","CEFOXITIN 1G VIAL",33.2401282051282
"PI000297","*","CEFPODOXIME 200MG TAB",62.85
"PI000298","*","CEFTAZIDIME 1GM VIAL",33.2668032786885
"PI000300","*","CEFTAZIDIME 2GM VIAL",16.3748540856031
"PI000305","*","CEFTRIAXONE 1GM VIAL",24.730914131362
"PI000307","*","CEFTRIAXONE 250MG VIAL",62.2078590785908
"PI000310","*","CEFTRIAXONE 2GM VIAL",9.95779728789986
"PI000312","*","CEFTRIAXONE 500MG VIAL",28.759765625
"PI000314","*","CELECOXIB 100 MG CAP",59.0329787234043
"PI000315","*","CELECOXIB 200 MG CAP",56.6730253353204
"PI000316","*","CEPASTAT LOZ (9/PKT)",5
"PI000317","*","CEPHALEXIN 250MG CAP",58.3481900452489
"PI000320","*","CEPHALEXIN 500MG CAP",56.662219666475
"PI000325","*","CETIRIZINE 10 MG TAB",57.1621851200937
"PI000326","*","CETIRIZINE 5 MG TAB",60.6
"PI000328","*","CHARCOAL ACTVTED/WTR 30GM/120",105.805
"PI000329","*","CHARCOAL ACTVTED/SORBTL 25GM/1",76.4285714285714
"PI000332","*","CHLORAMBUCIL 2 MG TAB",103.99880952381
"PI000335","*","CHLORASEPTIC ORAL SOLN SPRAY 1",5
"PI000336","*","CHLORDIAZEPOXIDE 10 MG CAP",100.15
