CDM Number,Description,Fee
"36002,PR","INJECTION PROCEDURES (EG, THROMBIN)",188
"36002,UB","INJECTION PROCEDURES (EG, THROMBIN)",301
"20551,UB","INJECTION TENDON, ORIGIN, INSERTION",107
"20551,PR","INJECTION TENDON, ORIGIN,INSERTION",64
"20526,50,PR",INJECTION THERAP,166
"20526,50,UB",INJECTION THERAP,248
"20526,PR",INJECTION THERAP,83
"20526,UB",INJECTION THERAP,124
"64680,PR",INJECTION TREATMENT OF NERVE,365
"64680,UB",INJECTION TREATMENT OF NERVE,496
"62310,PR","INJECTION, SINGLE, NOT INCLUDING",277
"62310,UB","INJECTION, SINGLE, NOT INCLUDING",343
"62311,PR","INJECTION, SINGLE, NOT INCLUDING",235
"62311,UB","INJECTION, SINGLE, NOT INCLUDING",305
"62282,PR",INJECTION/INFUSION OF NEUROLYTIC SU,331
"51701,78,PR",INSERTION NON-IN,67
"51701,78,UB",INSERTION NON-IN,111
"51701,PR",INSERTION NON-IN,67
"51701,UB",INSERTION NON-IN,111
"33239,PR",INSERTION OR REPOSITIONING OF ELECTRODE LEAD,1059
"33249,PR",INSERTION OR REPOSITIONING OF ELECTRODE LEAD,1059
"33249,UB",INSERTION OR REPOSITIONING OF ELECTRODE LEAD,1771
"51702,59,PR",INSERTION TEMP I,87
"51702,59,UB",INSERTION TEMP I,141
"51702,78,PR",INSERTION TEMP I,87
"51702,78,UB",INSERTION TEMP I,141
"51702,PR",INSERTION TEMP I,87
"51702,UB",INSERTION TEMP I,141
"36561,PR",INSRT TUNNLD CNT,1356
"36561,UB",INSRT TUNNLD CNT,1956
"33213,PR",INSRT/REPL PACEM,449
"33213,UB",INSRT/REPL PACEM,748
"G0446,PR","INTENSIVE BEHAVIORAL THERAPY TO REDUCE CARDIOVASCULAR DISEASE,BI-ANNUAL, 15 MIN",27
"G0446,UB","INTENSIVE BEHAVIORAL THERAPY TO REDUCE CARDIOVASCULAR DISEASE,BI-ANNUAL, 15 MIN",47
"Q3025,UB","INTERFERON BETA 1A, 11MCG IM",192
"93296,UB",INTERROGATION DEVICE EVAL,102
"93289,26,PR",INTERROGATION DEVICE EVAL IN PERSON W/PHYSICIAN DE,130
"93289,TC,UB",INTERROGATION DEVICE EVAL IN PERSON W/PHYSICIAN DE,77
"93295,PR",INTERROGATION DEVICE EVAL REMOTE UP TO 90 DAYS,211
"93299,PR","INTERROGATION DEVICE EVAL, REMOTE, UP TO 30 DAYS,",32
"93299,UB","INTERROGATION DEVICE EVAL, REMOTE, UP TO 30 DAYS,",82
"93288,26,PR",INTERROGATION DEVICE EVALUATION (IN PERSON),45
"93288,TC,UB",INTERROGATION DEVICE EVALUATION (IN PERSON),77
"36200,PR",INTRODUCTION OF,738
"36200,UB",INTRODUCTION OF,1127
"12042,51,PR","LAYER CLOSURE OF WOUNDS, HANDS/FEET",633
"12042,51,UB","LAYER CLOSURE OF WOUNDS, HANDS/FEET",161
"12042,PR","LAYER CLOSURE OF WOUNDS, HANDS/FEET",633
"12042,UB","LAYER CLOSURE OF WOUNDS, HANDS/FEET",161
"J7614,UB",LEVALBUTEROL INH,10
"54162,PR",LYSIS OR EXCISON PENILE P/O CIRCUMCUSION ADHESIONS,308
"54162,UB",LYSIS OR EXCISON PENILE P/O CIRCUMCUSION ADHESIONS,507
"19020,PR",MASTOTOMY W/EXPL,518
"19020,UB",MASTOTOMY W/EXPL,685
"90707,UB",MEASLES MUMPS RU,76
"90710,UB",MEASLES MUMPS RU,187
"94760,UB","MEASURE BLOOD OXYGEN LEVEL, SINGLE",8
"94762,UB","MEASURE BLOOD OXYGEN LEVEL,OVERNITE",67
"51798,59,PR",MEASUREMENT OF POST VOIDING RESID,22
"51798,59,UB",MEASUREMENT OF POST VOIDING RESID,56
"51798,PR",MEASUREMENT OF POST VOIDING RESID,22
"51798,UB",MEASUREMENT OF POST VOIDING RESID,56
"94761,UB","MEASURNONINVAS OXIMETRE BLOOD OXYGEN LEVEL,MULTIPLE",12
"90734,UB",MENINGOCOCCAL CO,143
"90733,UB",MENINGOCOCCAL PO,145
"73552,26,PR",MINIMUM 2 VIEWS,29
"73552,TC,UB",MINIMUM 2 VIEWS,67
"73503,26,PR",MINIMUM OF 4 VIEWS,43
"73503,TC,UB",MINIMUM OF 4 VIEWS,110
"73523,26,PR",MINIMUM OF 5 VIEWS,49
"73523,TC,UB",MINIMUM OF 5 VIEWS,119
"72084,26,PR",MINIMUM OF 6 VIEWS,62
"72084,TC,UB",MINIMUM OF 6 VIEWS,177
"95950,26,PR",MONITORING FOR IDENTIFICATION AND L,227
"95950,TC,UB",MONITORING FOR IDENTIFICATION AND L,505
"95951,26,PR",MONITORING FOR LOCALIZATION OF CEREBRAL SEIZURE FO,913
"95951,TC,UB",MONITORING FOR LOCALIZATION OF CEREBRAL SEIZURE FO,4120
"93284,26,PR",MULTIPLE LEAD IMPLANTABLE CARDIOVERTER DEFIBRILLAT,107
"93284,GW,26,PR",MULTIPLE LEAD IMPLANTABLE CARDIOVERTER DEFIBRILLAT,107
"93284,GW,TC,UB",MULTIPLE LEAD IMPLANTABLE CARDIOVERTER DEFIBRILLAT,183
"93284,TC,UB",MULTIPLE LEAD IMPLANTABLE CARDIOVERTER DEFIBRILLAT,183
"93281,26,PR",MULTIPLE PACEMAKER SYSTEM,82
"93281,TC,UB",MULTIPLE PACEMAKER SYSTEM,139
"95866,26,PR",MUSCLE TEST HEMIDIAPHRAGM,193
"95866,TC,UB",MUSCLE TEST HEMIDIAPHRAGM,94
"64615,PR","MUSCLE(S) INNERVATED BY FACIAL, TRIGEMINAL, CERVICAL SPINAL AND ACCESSORY NERVES, BILATERIAL LEF, FOR CHRONIC MIGRAINE",142
"64615,UB","MUSCLE(S) INNERVATED BY FACIAL, TRIGEMINAL, CERVICAL SPINAL AND ACCESSORY NERVES, BILATERIAL LEF, FOR CHRONIC MIGRAINE",269
"78452,26,PR","MYOCARDIAL PERFUSION IMAGTING, TOMOGRAPHIC (SPECT)",239
"78452,59,26,PR","MYOCARDIAL PERFUSION IMAGTING, TOMOGRAPHIC (SPECT)",239
"78452,59,TC,UB","MYOCARDIAL PERFUSION IMAGTING, TOMOGRAPHIC (SPECT)",1075
"78452,TC,UB","MYOCARDIAL PERFUSION IMAGTING, TOMOGRAPHIC (SPECT)",1075
"78451,26,PR",MYOCARDIOAL PERFUSION IMAGING (SPECT); SINGLE STUD,201
"78451,59,26,PR",MYOCARDIOAL PERFUSION IMAGING (SPECT); SINGLE STUD,201
"78451,59,TC,UB",MYOCARDIOAL PERFUSION IMAGING (SPECT); SINGLE STUD,735
"78451,TC,UB",MYOCARDIOAL PERFUSION IMAGING (SPECT); SINGLE STUD,735
"64530,PR",N BLOCK INJ CELIAC PELUS,226
"64530,UB",N BLOCK INJ CELIAC PELUS,309
"64517,PR",N BLOCK INJ HYPOGAS PLXS,207
"64517,UB",N BLOCK INJ HYPOGAS PLXS,280
"64400,PR",N BLOCK INJ TRIGEMINAL,131
"64400,UB",N BLOCK INJ TRIGEMINAL,177
"95864,26,PR",NEEDLE ELECTROMYOGRAPHY; FOUR EXTREMITIES WITH OR,304
"95864,TC,UB",NEEDLE ELECTROMYOGRAPHY; FOUR EXTREMITIES WITH OR,182
"95860,26,PR",NEEDLE ELECTROMYOGRAPHY; ONE EXTR,148
"95860,59,26,PR",NEEDLE ELECTROMYOGRAPHY; ONE EXTR,148
"95860,59,TC,UB",NEEDLE ELECTROMYOGRAPHY; ONE EXTR,101
"95860,TC,UB",NEEDLE ELECTROMYOGRAPHY; ONE EXTR,101
"95863,26,PR",NEEDLE ELECTROMYOGRAPHY; THREE EXTREMITIES WITH OR,284
"95863,TC,UB",NEEDLE ELECTROMYOGRAPHY; THREE EXTREMITIES WITH OR,150
"95861,26,PR",NEEDLE ELECTROMYOGRAPHY; TWO EXTR,237
"95861,59,26,PR",NEEDLE ELECTROMYOGRAPHY; TWO EXTR,237
"95861,59,TC,UB",NEEDLE ELECTROMYOGRAPHY; TWO EXTR,125
"95861,TC,UB",NEEDLE ELECTROMYOGRAPHY; TWO EXTR,125
"95885,26,PR","NEEDLE EMG, W/ NERVE CONDUCTION, EACH EXT",21
"95885,TC,UB","NEEDLE EMG, W/ NERVE CONDUCTION, EACH EXT",143
"95886,26,PR","NEEDLE EMG, WITH NERVE CONDUCTION 5+ MUSCULES",54
"95886,59,26,PR","NEEDLE EMG, WITH NERVE CONDUCTION 5+ MUSCULES",54
"95886,59,TC,UB","NEEDLE EMG, WITH NERVE CONDUCTION 5+ MUSCULES",204
"95886,TC,UB","NEEDLE EMG, WITH NERVE CONDUCTION 5+ MUSCULES",204
"95869,26,PR",NEEDLE EMG; THOR,57
"95869,TC,UB",NEEDLE EMG; THOR,93
"97605,PR",NEG PRESS WND TX,46
"97605,UB",NEG PRESS WND TX,65
"97607,PR","NEGATIVE PRESSURE WOUND THERAPY (E.G. VACUUM ASSISTED DRAINAGE COLLECTION), UTILIZING DISPOSABLE, NON-DURABLE MEDICAL EQUIPMENT INCLUDING PROVISION OF EXUDATE MANAGEMENT COLLECTION SYSTEM, TOPICAL APPLICATION(S), WOUND ASSESSMENT, AND INSTRUCTIONS FOR ONGOING CARE, PER SESSION; TOTAL WOUND(S) SURFACE AREA LESS THAN OR EQUAL TO 50 SQUARE CENTIMETERS",279
"97607,UB","NEGATIVE PRESSURE WOUND THERAPY (E.G. VACUUM ASSISTED DRAINAGE COLLECTION), UTILIZING DISPOSABLE, NON-DURABLE MEDICAL EQUIPMENT INCLUDING PROVISION OF EXUDATE MANAGEMENT COLLECTION SYSTEM, TOPICAL APPLICATION(S), WOUND ASSESSMENT, AND INSTRUCTIONS FOR ONGOING CARE, PER SESSION; TOTAL WOUND(S) SURFACE AREA LESS THAN OR EQUAL TO 50 SQUARE CENTIMETERS",278
"95912,26,PR",NERVE CONDUCTION STUDIES; 11-12 STUDIES,337
"95912,TC,UB",NERVE CONDUCTION STUDIES; 11-12 STUDIES,226
"95907,26,PR",NERVE CONDUCTION STUDIES; 1-2 STUDIES,113
"95907,TC,UB",NERVE CONDUCTION STUDIES; 1-2 STUDIES,92
"95913,26,PR",NERVE CONDUCTION STUDIES; 13 OR MORE STUDIES,399
"95913,TC,UB",NERVE CONDUCTION STUDIES; 13 OR MORE STUDIES,253
"95908,26,PR",NERVE CONDUCTION STUDIES; 3-4 STUDIES,141
"95908,TC,UB",NERVE CONDUCTION STUDIES; 3-4 STUDIES,111
"95909,26,PR",NERVE CONDUCTION STUDIES; 5-6 STUDIES,169
"95909,TC,UB",NERVE CONDUCTION STUDIES; 5-6 STUDIES,134
"95910,26,PR",NERVE CONDUCTION STUDIES; 7-8 STUDIES,225
"95910,TC,UB",NERVE CONDUCTION STUDIES; 7-8 STUDIES,172
"95911,26,PR",NERVE CONDUCTION STUDIES; 9-10 STUDIES,281
"95911,TC,UB",NERVE CONDUCTION STUDIES; 9-10 STUDIES,200
"95900,26,59,PR","NERVE CONDUCTION, AMPLITUDE & LAT",65
"95900,26,PR","NERVE CONDUCTION, AMPLITUDE & LAT",65
"95900,TC,59,UB","NERVE CONDUCTION, AMPLITUDE & LAT",98
"95900,TC,UB","NERVE CONDUCTION, AMPLITUDE & LAT",98
"95903,26,PR","NERVE CONDUCTION, AMPLITUDE & LAT",91
"95903,59,26,PR","NERVE CONDUCTION, AMPLITUDE & LAT",91
"95903,59,TC,UB","NERVE CONDUCTION, AMPLITUDE & LAT",99
"95903,TC,UB","NERVE CONDUCTION, AMPLITUDE & LAT",99
"95904,26,PR","NERVE CONDUCTION, AMPLITUDE & LAT",53
"95904,59,26,PR","NERVE CONDUCTION, AMPLITUDE & LAT",53
"95904,59,TC,UB","NERVE CONDUCTION, AMPLITUDE & LAT",90
"95904,TC,UB","NERVE CONDUCTION, AMPLITUDE & LAT",90
"64913,PR","NERVE REPAIR; WITH NERVE ALLOGRAFT, EACH ADDITIONAL STRAND",241
"64913,UB","NERVE REPAIR; WITH NERVE ALLOGRAFT, EACH ADDITIONAL STRAND",241
"64912,PR","NERVE REPAIR; WITH NERVE ALLOGRAFT, EACH NERVE, FIRST STRAND (CABLE)",1188
"64912,UB","NERVE REPAIR; WITH NERVE ALLOGRAFT, EACH NERVE, FIRST STRAND (CABLE)",1189
"95937,26,PR",NEUROMUSCULAR JUNCTION TESTING (REPETITIVE STIMULA,99
"95937,59,26,PR",NEUROMUSCULAR JUNCTION TESTING (REPETITIVE STIMULA,99
"95937,59,TC,UB",NEUROMUSCULAR JUNCTION TESTING (REPETITIVE STIMULA,74
"95937,TC,UB",NEUROMUSCULAR JUNCTION TESTING (REPETITIVE STIMULA,74
"95972,26,PR",NEUROSTIMULATOR PULSE GENERATOR,121
"95972,TC,UB",NEUROSTIMULATOR PULSE GENERATOR,183
"99205,UB","NEW OFF VISIT(HIGH), FACILITY FEE",186
"99205,PR","NEW OFF VISIT(HIGH),PROFESSIONAL FEE",424
"99202,PR","NEW OFF VISIT(LOW),PROFESSIONAL FEE",81
"99204,PR","NEW OFF VISIT(MOD), PROFESSIONAL FEE",350
"99203,PR","NEW OFF VISIT(MOD),PROFESSIONAL FEE",164
"99202,UB","NEW OFFICE VISIT(LOW),FACILITY FEE",139
"99203,UB","NEW OFFICE VISIT(MOD), FACILITY FEE",139
"99204,UB","NEW OFFICE VISIT(MOD), FACILITY FEE",139
"99201,UB","NEW OFFICE VISIT, FACILITY FEE",139
"99201,PR","NEW OFFICE VISIT,PROFESSIONAL FEE",30
"93922,26,PR",NONINVAS STDY-UP,124
"93922,TC,UB",NONINVAS STDY-UP,223
"93923,26,PR",NONINVAS STDY-UP,192
"93923,59,26,PR",NONINVAS STDY-UP,192
"93923,59,TC,UB",NONINVAS STDY-UP,341
"93923,TC,UB",NONINVAS STDY-UP,341
"93992,26,PR",NONINVAS STDY-UP,124
"93924,26,PR",NONINVASIV PHYSI,240
"93924,TC,UB",NONINVASIV PHYSI,415
"93965,26,PR",NON-INVASIVE PHYSIOLOGIC STUDIES OF,54
"93965,TC,UB",NON-INVASIVE PHYSIOLOGIC STUDIES OF,300
"Q2039,UB","NOS FLU VACC, 3 YRS & >, IM",22
"Q0091,UB",OBTAINING SCREEN PAP SMEAR,122
"99244,25,PR",OFC/OUTPT CNSLT NEW/ES,253
"99244,25,UB",OFC/OUTPT CNSLT NEW/ES,179
"99213,24,25,PR",OFC/OUTPT E&M ES,76
"99213,24,25,UB",OFC/OUTPT E&M ES,139
"99213,24,57,PR",OFC/OUTPT E&M ES,76
"99213,24,57,UB",OFC/OUTPT E&M ES,139
"99213,57,PR",OFC/OUTPT E&M ES,76
"99213,57,UB",OFC/OUTPT E&M ES,139
"99214,GW,PR",OFC/OUTPT E&M ES,179
"99214,GW,UB",OFC/OUTPT E&M ES,139
"99215,57,PR",OFC/OUTPT E&M ES,287
"99215,57,UB",OFC/OUTPT E&M ES,139
"99245,UB","OFF CONSULT, HIGH, FACILITY FEE",194
"99242,UB","OFF CONSULT, LOW, FACILITY FEE",76
"99241,UB","OFF CONSULT, MINOR, FACILITY FEE",40
"99243,UB","OFF CONSULT, MOD, FACILITY FEE",135
"99244,UB","OFF CONSULT, MOD-HIGH, FACILITY FEE",179
"99241,PR","OFF CONSULT, PROFESSIONAL FEE",53
"99242,PR","OFF CONSULT, PROFESSIONAL FEE",99
"99243,PR","OFF CONSULT, PROFESSIONAL FEE",170
"99244,PR","OFF CONSULT, PROFESSIONAL FEE",253
"99245,PR","OFF CONSULT, PROFESSIONAL FEE",244
"99203,57,PR",OFFICE OUTPT NEW,164
"99203,57,UB",OFFICE OUTPT NEW,139
"99204,57,PR",OFFICE OUTPT NEW,350
"99204,57,UB",OFFICE OUTPT NEW,139
"99205,57,PR",OFFICE OUTPT NEW,424
"99205,57,UB",OFFICE OUTPT NEW,186
"95933,26,PR","ORBICULARIS OCULI (BLINK) REFLEX, B",90
"95933,TC,UB","ORBICULARIS OCULI (BLINK) REFLEX, B",108
"64450,PR",OTHER PERIPHERAL NERVE OR BR,118
"64450,UB",OTHER PERIPHERAL NERVE OR BR,170
"64640,50,PR",OTHER PERIPHERAL NERVE OR BR,494
"64640,50,UB",OTHER PERIPHERAL NERVE OR BR,766
"64640,PR",OTHER PERIPHERAL NERVE OR BR,247
"64640,UB",OTHER PERIPHERAL NERVE OR BR,383
"G0463,UB",OUTPATIENT CLINIC VISIT (NEW OR ESTABLISHED) REPLACES E/M CODES: 99211-15 & 99201-05,139
"77772,26,PR",OVER 12 CHANNELS,837
"77772,TC,UB",OVER 12 CHANNELS,1884
"G0101,UB","PELVIC & BREAST EXAM, FACILITY FEE",53
"G0101,PR","PELVIC & BREAST EXAM, PROFESS FEE",52
"54235,PR",PENILE INJECTION,105
"54235,UB",PENILE INJECTION,171
"11750,PR",PERMANENT REMOVAL OF NAIL BED,213
"11750,UB",PERMANENT REMOVAL OF NAIL BED,382
"19291,PR",PLACE NEEDLE WIRE BREAST,76
"19291,UB",PLACE NEEDLE WIRE BREAST,120
"55876,PR",PLACE RT DEVICE/MARKER PROS,158
"55876,UB",PLACE RT DEVICE/MARKER PROS,260
"50432,PR","PLACEMENT OF NEPHROSTOMY CATHETER, PERCUTANEOUS, INCLUDING DIAGNOSTIC NEPHROSTOGRAM AND/OR URETEROGRAM WHEN PERFORMED, IMAGING GUIDANCE (EG, ULTRASOUND AND/OR FLUOROSCOPY) AND ALL ASSOCIATED RADIOLOGICAL SUPERVISION AND INTERPRETATION",1266
"50432,UB","PLACEMENT OF NEPHROSTOMY CATHETER, PERCUTANEOUS, INCLUDING DIAGNOSTIC NEPHROSTOGRAM AND/OR URETEROGRAM WHEN PERFORMED, IMAGING GUIDANCE (EG, ULTRASOUND AND/OR FLUOROSCOPY) AND ALL ASSOCIATED RADIOLOGICAL SUPERVISION AND INTERPRETATION",1266
"50433,PR","PLACEMENT OF NEPHROURETERAL CATHETER, PERCUTANEOUS, INCLUDING DIAGNOSTIC NEPHROSTOGRAM AND/OR URETEROGRAM WHEN PERFORMED, IMAGING GUIDANCE (EG, ULTRASOUND AND/OR FLUOROSCOPY) AND ALL ASSOCIATED RADIOLOGICAL SUPERVISION AND INTERPRETATION, NEW ACCESS",1704
"50433,UB","PLACEMENT OF NEPHROURETERAL CATHETER, PERCUTANEOUS, INCLUDING DIAGNOSTIC NEPHROSTOGRAM AND/OR URETEROGRAM WHEN PERFORMED, IMAGING GUIDANCE (EG, ULTRASOUND AND/OR FLUOROSCOPY) AND ALL ASSOCIATED RADIOLOGICAL SUPERVISION AND INTERPRETATION, NEW ACCESS",1704
"19296,58,PR",PLMT EXPANDABLE,4609
"19296,58,UB",PLMT EXPANDABLE,6091
"19296,79,PR",PLMT EXPANDABLE,4609
"19296,79,UB",PLMT EXPANDABLE,6091
"19296,PR",PLMT EXPANDABLE,4609
"19296,UB",PLMT EXPANDABLE,6091
"19696,UB",PLMT EXPANDABLE,6091
"90669,UB",PNEUMOCOCCAL CON,122
"90670,UB","PNEUMOCOCCAL CONJUGATE VACCINE, 13 VALENT, FOR INT",371
"90732,UB",PNEUMOCOCCAL IMMUNIZATION,218
"90713,UB",POLIOVIRUS VACCI,44
"95808,26,PR",POLYSOMNOGRAPHY 1-3,388
"95808,TC,UB",POLYSOMNOGRAPHY 1-3,1560
"19290,58,PR",PREOP PLCMT NDLE,179
"19290,58,UB",PREOP PLCMT NDLE,275
"19290,PR",PREOP PLCMT NDLE,179
"19290,UB",PREOP PLCMT NDLE,275
"93260,26,PR",PRGRMG DEV EVAL IMPLTBL SYS,74
"93260,TC,UB",PRGRMG DEV EVAL IMPLTBL SYS,145
"93283,26,PR",PROGRMG EVAL IMP,96
"93283,59,26,PR",PROGRMG EVAL IMP,96
"93283,59,TC,UB",PROGRMG EVAL IMP,164
"93283,TC,UB",PROGRMG EVAL IMP,164
"99354,PR",PROLNG PHYS SVC,108
"99354,UB",PROLNG PHYS SVC,174
"99355,PR",PROLNG PHYS SVC,106
"99355,UB",PROLNG PHYS SVC,174
"99358,PR",PROLONG E/M W/O,121
"99358,UB",PROLONG E/M W/O,104
"99359,PR",PROLONGED EVALUATION AND MANAGEMENT SERVICE BEFORE AND/OR AFTER DIRECT PATIENT CARE; EACH ADDITIONAL 30 MINUTES (LIST SEPARATELY IN ADDITION TO CODE FOR PROLONGED SERVICE),59
"99359,UB",PROLONGED EVALUATION AND MANAGEMENT SERVICE BEFORE AND/OR AFTER DIRECT PATIENT CARE; EACH ADDITIONAL 30 MINUTES (LIST SEPARATELY IN ADDITION TO CODE FOR PROLONGED SERVICE),93
"G0103,UB","PSA, TOTAL SCREENING",52
"94620,26,PR",PULMONARY STRESS TEST/SIMPLE,93
"94620,TC,UB",PULMONARY STRESS TEST/SIMPLE,101
"94618,26,PR","PULMONARY STRESS TESTING, INCLUDING MEASUREMENT OF HEART RATE, OXIMETRY, AND OXYGEN TITRATION, WHEN PERFORMED",69
"94618,TC,UB","PULMONARY STRESS TESTING, INCLUDING MEASUREMENT OF HEART RATE, OXIMETRY, AND OXYGEN TITRATION, WHEN PERFORMED",45
"19000,51,PR",PUNCTURE ASPIRAT DRAINAGE OF BREAST LESION,123
"19000,51,UB",PUNCTURE ASPIRAT DRAINAGE OF BREAST LESION,184
"19000,PR",PUNCTURE ASPIRAT DRAINAGE OF BREAST LESION,123
"19000,UB",PUNCTURE ASPIRAT DRAINAGE OF BREAST LESION,184
"55000,PR","PUNCTURE ASPIRATION OF HYDROCELE, T",138
"55000,UB","PUNCTURE ASPIRATION OF HYDROCELE, T",227
"10160,79,PR",PUNCTURE DRAINAGE OF SKIN LESION,254
"10160,79,UB",PUNCTURE DRAINAGE OF SKIN LESION,92
"10160,PR",PUNCTURE DRAINAGE OF SKIN LESION,254
"10160,UB",PUNCTURE DRAINAGE OF SKIN LESION,92
"92552,UB",PURE TONE AUDIOM,65
"74010,26,PR",RAD EX ABD; AP&A,35
"74010,TC,UB",RAD EX ABD; AP&A,73
"71010,26,PR",RAD EX CHST; SIN,28
"71010,TC,UB",RAD EX CHST; SIN,42
"73565,26,PR",RAD EX KNEE; BOT,28
"73565,TC,UB",RAD EX KNEE; BOT,64
"74020,26,PR",RAD EXAM ABD; CM,42
"74020,TC,UB",RAD EXAM ABD; CM,74
"72114,26,PR",RAD EXAM SPINE L,56
"72114,TC,UB",RAD EXAM SPINE L,150
"72052,TC,UB","RAD EXAM SPINE, CERVICAL,; COMPLT, OBLIQUE",132
"76098,26,PR",RAD EXAMINATION,25
"76098,TC,UB",RAD EXAMINATION,32
"73610,26,50,PR",RADEX ANKLE COMP,52
"73610,26,PR",RADEX ANKLE COMP,26
"73610,TC,50,UB",RADEX ANKLE COMP,130
"73610,TC,UB",RADEX ANKLE COMP,65
"73650,26,PR",RADEX CALCANEUS,24
"73650,TC,UB",RADEX CALCANEUS,54
"71020,26,PR",RADEX CH 2 VIEWS,34
"71020,TC,UB",RADEX CH 2 VIEWS,57
"73070,26,PR",RADEX ELBW 2 VIE,23
"73070,TC,UB",RADEX ELBW 2 VIE,56
"73080,26,PR",RADEX ELBW COMPL,26
"73080,TC,UB",RADEX ELBW COMPL,73
"73090,26,PR",RADEX F/ARM 2 VI,24
"73090,TC,UB",RADEX F/ARM 2 VI,55
"70140,26,PR",RADEX FACIAL BONES; LESS THAN 3 VIEWS,29
"70140,TC,UB",RADEX FACIAL BONES; LESS THAN 3 VIEWS,56
"73550,26,PR",RADEX FEMUR 2 VI,27
"73550,TC,UB",RADEX FEMUR 2 VI,54
"73140,26,PR",RADEX FNGR MINIM,21
"73140,TC,UB",RADEX FNGR MINIM,65
"73630,26,50,PR",RADEX FOOT COMPL,52
"73630,26,PR",RADEX FOOT COMPL,26
"73630,TC,50,UB",RADEX FOOT COMPL,128
"73630,TC,UB",RADEX FOOT COMPL,64
"73130,26,50,PR",RADEX HAND MINIM,52
"73130,26,PR",RADEX HAND MINIM,26
"73130,TC,50,UB",RADEX HAND MINIM,128
"73130,TC,UB",RADEX HAND MINIM,64
"73510,26,PR",RADEX HIP UNI CO,34
"73510,TC,UB",RADEX HIP UNI CO,73
"73520,26,PR",RADEX HIPS BI 2,40
"73520,TC,UB",RADEX HIPS BI 2,74
"73060,26,PR",RADEX HUM MINIMU,26
"73060,TC,UB",RADEX HUM MINIMU,57
"73560,26,PR",RADEX KNE 1/2 VI,27
"73560,TC,UB",RADEX KNE 1/2 VI,114
"73562,26,PR",RADEX KNE 3 VIEW,29
"73562,TC,UB",RADEX KNE 3 VIEW,71
"73564,26,PR",RADEX KNE COMPL,35
"73564,TC,UB",RADEX KNE COMPL,82
"73560,50,26,PR",RADEX KNEE 1/2 VIEW,54
"73562,50,26,PR","RADEX KNEE 3 VIEW, BILATERAL",58
"73562,50,TC,UB","RADEX KNEE 3 VIEW, BILATERAL",142
"71111,26,PR",RADEX RIBS BI W/,48
"71111,TC,UB",RADEX RIBS BI W/,101
"71100,26,PR",RADEX RIBS UNI 2,34
"71100,PR",RADEX RIBS UNI 2,34
"71100,TC,UB",RADEX RIBS UNI 2,60
"71100,UB",RADEX RIBS UNI 2,60
"71101,26,PR",RADEX RIBS UNI W,41
"71101,TC,UB",RADEX RIBS UNI W,72
"72220,26,PR",RADEX SACRUM&COC,26
"72220,TC,UB",RADEX SACRUM&COC,57
"73020,26,PR",RADEX SHO 1 VIEW,23
"73020,TC,UB",RADEX SHO 1 VIEW,45
"73030,26,PR",RADEX SHO COMPL,29
"73030,TC,UB",RADEX SHO COMPL,57
"73030,TC,UB,50",RADEX SHO COMPL,85
"72202,26,PR",RADEX SI JTS 3/M,30
"72202,TC,UB",RADEX SI JTS 3/M,70
"70220,26,PR",RADEX SINUSES PA,37
"70220,TC,UB",RADEX SINUSES PA,74
"72040,26,PR",RADEX SPI CRV 2/,35
"72040,TC,UB",RADEX SPI CRV 2/,73
"72050,26,PR",RADEX SPI CRV MI,48
"72050,TC,UB",RADEX SPI CRV MI,102
"72100,26,PR",RADEX SPI LUMBOS,35
"72100,TC,UB",RADEX SPI LUMBOS,79
"72110,26,PR",RADEX SPI LUMBOS,48
"72110,TC,UB",RADEX SPI LUMBOS,108
"72070,26,PR",RADEX SPI THRC 2,34
"72070,TC,UB",RADEX SPI THRC 2,63
"73660,26,PR",RADEX TOE MINIMU,20
"73660,TC,UB",RADEX TOE MINIMU,60
"73100,26,50,PR",RADEX WRST 2 VIE,52
"73100,26,PR",RADEX WRST 2 VIE,26
"73100,TC,50,UB",RADEX WRST 2 VIE,118
"73100,TC,UB",RADEX WRST 2 VIE,59
"73110,26,PR",RADEX WRST COMPL,26
"73110,TC,UB",RADEX WRST COMPL,74
"73000,26,PR",RADIOLOGIC EXAM;,25
"73000,TC,UB",RADIOLOGIC EXAM;,55
"74000,26,PR","RADIOLOGIC EXAMINATION, ABDOMEN;",28
"74000,59,26,PR","RADIOLOGIC EXAMINATION, ABDOMEN;",28
"74000,59,TC,UB","RADIOLOGIC EXAMINATION, ABDOMEN;",46
"74000,TC,UB","RADIOLOGIC EXAMINATION, ABDOMEN;",46
"74022,26,PR","RADIOLOGIC EXAMINATION, ABDOMEN;",50
"74022,TC,UB","RADIOLOGIC EXAMINATION, ABDOMEN;",89
"74019,26,PR","RADIOLOGIC EXAMINATION, ABDOMEN; 2 VIEWS",35
"74019,TC,UB","RADIOLOGIC EXAMINATION, ABDOMEN; 2 VIEWS",65
"74021,26,PR","RADIOLOGIC EXAMINATION, ABDOMEN; 3 OR MORE VIEWS",41
"74021,TC,UB","RADIOLOGIC EXAMINATION, ABDOMEN; 3 OR MORE VIEWS",76
"74018,26,PR","RADIOLOGIC EXAMINATION, ABDOMEN; ONE VIEW",28
"74018,TC,UB","RADIOLOGIC EXAMINATION, ABDOMEN; ONE VIEW",54
