"Type","Name","Per Day Charges"
"Pharmacy","fosphenytoin 100 mg PE/2 mL Sol","10.08"
"Pharmacy","fosphenytoin 500 mgPE/10 mL Sol","41.8"
"Pharmacy","furosemide 10 mg/mL Inj Sol 10 mL","3.5"
"Pharmacy","furosemide 10 mg/mL Inj Sol 2mL","7.18"
"Pharmacy","furosemide 10 mg/mL Inj Sol 4 mL","3.5"
"Pharmacy","furosemide 10 mg/mL Oral Liquid (Extemp)","3.5"
"Pharmacy","furosemide 20 mg Tab","3.5"
"Pharmacy","furosemide 40 mg Tab","3.5"
"Pharmacy","furosemide 40 mg/4 mL Oral Liq (4mL UD)","3.5"
"Pharmacy","furosemide 40 mg/5 mL Oral Soln (5mL UD)","3.5"
"Pharmacy","furosemide 80 mg Tab","3.5"
"Pharmacy","gabapentin 100 mg Cap","3.5"
"Pharmacy","gabapentin 250 mg/5 mL Oral Sol (5mL UD)","3.5"
"Pharmacy","gabapentin 250 mg/5 mL Oral Sol (6ml UD)","3.5"
"Pharmacy","gabapentin 250 mg/5 mL Oral Soln (Extemp)","3.5"
"Pharmacy","gabapentin 300 mg Cap","3.5"
"Pharmacy","gabapentin 300 mg/24 hours Tab ER","30.03"
"Pharmacy","gabapentin 400 mg Cap","4.27"
"Pharmacy","gabapentin 600 mg Tab","8.48"
"Pharmacy","gabapentin 800 mg Tab","10.17"
"Pharmacy","gadopentetate dimeglumine 46.9% Solution IV (5mL Vial)","19.4"
"Pharmacy","galantamine 12 mg Tab","10.68"
"Pharmacy","galantamine 16 mg Cap ER","22.28"
"Pharmacy","galantamine 24 mg oral Cap, ER","22.28"
"Pharmacy","galantamine 4 mg Tab","9.51"
"Pharmacy","galantamine 8 mg oral Cap, ER","22.28"
"Pharmacy","galantamine 8 mg Tab","14.78"
"Pharmacy","ganciclovir 250 mg Cap","16.52"
"Pharmacy","ganciclovir 500 mg Powder Injection (Vial)","408.53"
"Pharmacy","gatifloxacin 0.5% Sol Opth (2.5mL Bulk)","165.42"
"Pharmacy","gemfibrozil 600 mg Tab","4.07"
"Pharmacy","gentamicin 0.1% Topical Cream (15gm Bulk)","11.52"
"Pharmacy","gentamicin 0.1% Topical Cream (30gm Bulk)","11.06"
"Pharmacy","gentamicin 0.1% Topical Oint (30gm Bulk)","11.52"
"Pharmacy","gentamicin 0.1% Topical Ointment (15gm Bulk)","11.52"
"Pharmacy","gentamicin 0.3% Ophthalmic Ointment (3.5gm Bulk)","35.44"
"Pharmacy","gentamicin 0.3% Ophthalmic Solution (5mL Bulk)","13.43"
"Pharmacy","gentamicin 10 mg/mL Inj Sol (2 mL)","8.27"
"Pharmacy","gentamicin 100 mg/100 mL-0.9% Sol","3.5"
"Pharmacy","gentamicin 100 mg/50 mL-NS IV Sol","3.5"
"Pharmacy","gentamicin 120 mg/100 mL-NS IV Sol","3.5"
"Pharmacy","gentamicin 40 mg/mL Inj Sol (2 mL)","6.78"
"Pharmacy","gentamicin 40 mg/mL Inj Sol (20mL MDV)","4.25"
"Pharmacy","gentamicin 60 mg/50 mL-NS IV Sol","3.5"
"Pharmacy","gentamicin 80 mg/100 mL-0.9% Sol","3.5"
"Pharmacy","gentamicin 80 mg/50 mL-NS IV Sol","3.5"
"Pharmacy","gentamicin-prednisolone 0.3%-1% Ophthalmic Suspension (5mL Bulk)","106.39"
"Pharmacy","gentian violet 1% Topical Solution (59mL Bulk)","3.5"
"Pharmacy","glatiramer 20 mg/mL Solution Injection","949.44"
"Pharmacy","glatiramer 40 mg/mL Sol Inj","644.84"
"Pharmacy","glecaprevir-pibrentasvir 100 mg-40 mg Tab","660"
"Pharmacy","glimepiride 1 mg Tab","3.5"
"Pharmacy","glimepiride 2 mg Tab","3.5"
"Pharmacy","glimepiride 4 mg Tab","4.27"
"Pharmacy","glipiZIDE 10 mg ER Tab","3.5"
"Pharmacy","glipiZIDE 10 mg Tab","3.5"
"Pharmacy","glipiZIDE 2.5 mg ER Tab","3.5"
"Pharmacy","glipiZIDE 5 mg ER Tab","3.5"
"Pharmacy","glipiZIDE 5 mg Tab","3.5"
"Pharmacy","glucagon 1 mg Powder Injection Kit","1167.79"
"Pharmacy","glucagon recombinant 1 mg Inj","680.4"
"Pharmacy","glucosamine 500 mg Cap","3.5"
"Pharmacy","glucosamine 500 mg Tab","3.5"
"Pharmacy","glucose 4 g Tab","3.5"
"Pharmacy","glucose Oral Gel  {1Tube=15gm glucose delivered from tube} (37.5gm Bulk)","3.5"
"Pharmacy","glyBURIDE 1.25 mg Tab","3.5"
"Pharmacy","glyBURIDE 2.5 mg Tab","3.5"
"Pharmacy","glyBURIDE 5 mg Tab","3.5"
"Pharmacy","glyBURIDE micronized 1.5 mg Tab","3.5"
"Pharmacy","glyBURIDE micronized 3 mg Tab","3.5"
"Pharmacy","glycerin - Liquid (177mL Bulk)","3.5"
"Pharmacy","glycerin adult Sup","3.5"
"Pharmacy","glycerin pediatric Sup","3.5"
"Pharmacy","glycerin-phenol Topical Oral Solution (180mL Bulk)","3.5"
"Pharmacy","glycopyrrolate 0.2 mg/mL Sol","56.88"
"Pharmacy","glycopyrrolate 1 mg Tab","3.72"
"Pharmacy","glycopyrrolate 2 mg Tab","6.21"
"Pharmacy","gramicidin/neomycin/polymyxin B 0.025-1.75mg-10000units/mL Ophthalmic Soln (10mL Bulk)","19.89"
"Pharmacy","granisetron 1 mg Tab","23.52"
"Pharmacy","granisetron 1 mg/mL IV Solution","82.53"
"Pharmacy","granisetron 3.1 mg/24 hr Film","2240.91"
"Pharmacy","griseofulvin microcrystalline 500 mg Tab","29.78"
"Pharmacy","guaiFENesin 100 mg/5 mL Oral Liquid (5mL UD Liq)","3.5"
"Pharmacy","guaiFENesin 1200 mg Tab ER","3.5"
"Pharmacy","guaiFENesin 200 mg Tab","3.5"
"Pharmacy","guaiFENesin 200mg/10mL Oral Liq (10mL UD Liq)","3.5"
"Pharmacy","guaiFENesin 300mg/15mL Oral Liquid (15mL UD)","3.5"
"Pharmacy","guaiFENesin 400 mg Tab","3.5"
"Pharmacy","guaiFENesin 600 mg ER Tab","3.5"
"Pharmacy","guaiFENesin-pseudoephedrine 600 mg-60 mg Tab ER","3.5"
"Pharmacy","guanFACINE 1 mg Tab","3.5"
"Pharmacy","guanFACINE 1 mg Tab ER","24.06"
"Pharmacy","guanFACINE 2 mg Tab","4.12"
"Pharmacy","guanFACINE 2 mg Tab ER","36.72"
"Pharmacy","guar gum Oral Powder (4gm UD)","3.5"
"Pharmacy","halobetasol 0.05% Topical Cream (15gm Bulk)","18.57"
"Pharmacy","halobetasol 0.05% Topical Ointment (15gm Bulk)","18.57"
"Pharmacy","haloperidol 0.5 mg Tab","3.5"
"Pharmacy","haloperidol 1 mg Tab","3.5"
"Pharmacy","haloperidol 2 mg Tab","3.5"
"Pharmacy","haloperidol 2 mg/mL Oral Concentrate","6.22"
"Pharmacy","haloperidol 5 mg Tab","3.82"
"Pharmacy","haloperidol 5 mg/mL Inj Sol","3.7"
"Pharmacy","haloperidol decanoate 50 mg/mL Inj Sol","108.74"
"Pharmacy","heme iron polypeptide 12 mg Tab","3.5"
"Pharmacy","heparin 1000 units/mL Inj Sol (1mL UD Inj)","10.08"
"Pharmacy","heparin 1000 units/mL Inj Sol (2mL UD Inj)","21.84"
"Pharmacy","heparin 10000 units/mL Inj Sol","30.63"
"Pharmacy","heparin 20000 units/mL Inj Sol","73.33"
"Pharmacy","heparin 25,000 units/250 mL-D5% IV Sol","3.5"
"Pharmacy","heparin 25,000 units/250 mL-NaCl 0.45% IV Sol 250 mL","3.5"
"Pharmacy","heparin 25,000 units/500 mL-D5% IV Sol","3.5"
"Pharmacy","heparin 25,000 units/500 mL-NS 0.45%  IV Sol","3.5"
"Pharmacy","heparin 5000 units/0.5 mL Inj Sol","24.11"
"Pharmacy","heparin 5000 units/mL Inj Sol","10.92"
"Pharmacy","heparin 5000 units/mL Inj Sol (10 mL Bulk)","3.53"
"Pharmacy","heparin 7,500 units/0.75 mL Inj Sol (Extemp)","12.12"
"Pharmacy","heparin FLUSH 10 units/mL Inj Sol (3mL)","3.5"
"Pharmacy","heparin FLUSH 10 units/mL Inj Sol (5mL)","3.5"
"Pharmacy","heparin FLUSH 100 units/mL Inj Sol (10mL)","3.5"
"Pharmacy","heparin FLUSH 100 units/mL Inj Sol (1mL)","11.8"
"Pharmacy","heparin FLUSH 100 units/mL Inj Sol (3mL)","3.61"
"Pharmacy","hepatitis A adult vaccine 1440 units/mL PF IM Susp","277.23"
"Pharmacy","hepatitis B pediatric vaccine 10 mcg/0.5 mL IM Susp","170.09"
"Pharmacy","hepatitis B pediatric vaccine 5 mcg/0.5 mL IM Susp","182.89"
"Pharmacy","hepatitis B vaccine adult 10 mcg/mL IM Sol","253.85"
"Pharmacy","hepatitis B vaccine adult 20 mcg/mL IM Sol","215.23"
"Pharmacy","hexachlorophene 3% Topical Liquid (148mL Bulk)","3.5"
"Pharmacy","homatropine 5% Ophthalmic Solution (5mL Bulk)","12.14"
"Pharmacy","homatropine-HYDROcodone 1.5 mg-5 mg Tab","3.5"
"Pharmacy","homatropine-HYDROcodone 1.5 mg-5 mg/5 mL Oral Syrup (5mL UD Liq)","3.5"
"Pharmacy","hyaluronidase 200 units/mL Inj Sol","328.21"
"Pharmacy","hydrALAZINE 10 mg Tab","3.5"
"Pharmacy","hydrALAZINE 100 mg Tab","3.55"
"Pharmacy","hydrALAZINE 20 mg/mL Inj Sol","50.4"
"Pharmacy","hydrALAZINE 25 mg Tab","3.5"
"Pharmacy","hydrALAZINE 50 mg Tab","3.5"
"Pharmacy","hydrALAZINE-isosorbide dinitrate 37.5 mg-20 mg Tab","13.6"
"Pharmacy","hydrochlorothiazide 12.5 mg Cap","3.5"
"Pharmacy","hydrochlorothiazide 12.5 mg Tab","3.5"
"Pharmacy","hydrochlorothiazide 25 mg Tab","3.5"
"Pharmacy","hydrochlorothiazide 50 mg Tab","3.5"
"Pharmacy","hydrochlorothiazide-lisinopril 12.5 mg-10 mg Tab","3.92"
"Pharmacy","hydrochlorothiazide-losartan 12.5 mg-100 mg Tab","11.12"
"Pharmacy","hydrochlorothiazide-losartan 12.5 mg-50 mg Tab","8.76"
"Pharmacy","hydrochlorothiazide-methyldopa 25 mg-250 mg Tab","7.55"
"Pharmacy","hydrochlorothiazide-spironolactone 25 mg-25 mg Tab","5.38"
"Pharmacy","hydrochlorothiazide-telmisartan 25 mg-80 mg Tab","18.53"
"Pharmacy","hydrochlorothiazide-triamterene 25 mg-37.5 mg Cap","3.5"
"Pharmacy","hydrochlorothiazide-triamterene 25 mg-37.5 mg Tab","3.5"
"Pharmacy","hydrochlorothiazide-triamterene 50 mg-75 mg Tab","3.5"
"Pharmacy","hydrochlorothiazide-valsartan 12.5 mg-160 mg Tab","14.96"
"Pharmacy","hydrochlorothiazide-valsartan 25 mg-160 mg Tab","16.98"
"Pharmacy","HYDROcodone 10 mg Cap ER","35.99"
"Pharmacy","HYDROcodone 20 mg Cap-ER","39.69"
"Pharmacy","HYDROcodone 20 mg Tab ER","36.23"
"Pharmacy","HYDROcodone 40 mg Tab-ER","71.24"
"Pharmacy","HYDROcodone-ibuprofen 7.5 mg-200 mg Tab","4.01"
"Pharmacy","hydrocortisone 1% Topical Cream (0.9gm UD)","3.5"
"Pharmacy","hydrocortisone 1% Topical Cream (1.5gm UD)","3.5"
"Pharmacy","hydrocortisone 1% Topical Cream (30 gm Bulk)","3.5"
"Pharmacy","hydrocortisone 1% Topical Cream (454 gm Bulk)","3.5"
"Pharmacy","hydrocortisone 1% Topical Lotion (118mL Bulk)","3.5"
"Pharmacy","hydrocortisone 1% Topical Ointment (30gm Bulk)","3.5"
"Pharmacy","hydrocortisone 1% Topical Rectal Cream (27gm Bulk)","3.5"
"Pharmacy","hydrocortisone 10 mg Tab","3.5"
"Pharmacy","hydrocortisone 100 mg preservative-free Pow","56.4"
"Pharmacy","hydrocortisone 100 mg/60 mL Enema","3.5"
"Pharmacy","hydrocortisone 2.5% Rectal Crm w/Appl (28gm Bulk)","10.19"
"Pharmacy","hydrocortisone 2.5% Topical Lotion (59mL Bulk)","3.5"
"Pharmacy","hydrocortisone 2.5% Topical Ointment (20gm Bulk)","3.5"
"Pharmacy","hydrocortisone 20 mg Tab","3.8"
"Pharmacy","hydrocortisone 250 mg preservative-free Pow","104.34"
"Pharmacy","hydrocortisone 5 mg Tab","3.5"
"Pharmacy","hydrocortisone 500 mg preservative-free Pow","208.7"
"Pharmacy","hydrocortisone butyrate 0.1% topical Cream (15gm Bulk)","14.63"
"Pharmacy","hydrocortisone Top 0.5% Cream (30gm Bulk)","3.5"
"Pharmacy","hydrocortisone Top 0.5% Ointment (30gm Bulk)","3.5"
"Pharmacy","hydrocortisone topical 2.5% Cream (20gm Bulk)","3.5"
"Pharmacy","hydrocortisone topical 2.5% Cream (28gm Bulk)","3.5"
"Pharmacy","hydrocortisone topical 25 mg Sup","201.7"
"Pharmacy","hydrocortisone valerate 0.2% Topical Cream  (15gm Bulk)","20.89"
"Pharmacy","hydrocortisone/neomycin/polymyxin B Ophthalmic Suspension (7.5mL Bulk)","66.02"
"Pharmacy","hydrocortisone/neomycin/polymyxin B Otic Solution (10mL Bulk)","10.78"
"Pharmacy","hydrocortisone/neomycin/polymyxin B Otic Susp (10mL Bulk)","10.78"
"Pharmacy","hydrocortisone-iodoquinol 1%-1% Topical Cream (28.4gm Bulk)","13.21"
"Pharmacy","hydrocortisone-lidocaine  0.5%-3% Topical Cream (7gm Bulk)","4.2"
"Pharmacy","hydrocortisone-pramoxine  1%-1% Topical Rectal Cream (30gm Bulk)","16.98"
"Pharmacy","hydrocortisone-pramoxine 1%-1% Rectal Foam (10gm Bulk)","54.4"
"Pharmacy","hydrocortisone-pramoxine 1%-1% Topical Cream (30gm Bulk)","9.73"
"Pharmacy","hydrocortisone-pramoxine 2.5%-1% Rectal Cream w/Appl (4gm Bulk)","16.01"
"Pharmacy","hydrocortisone-pramoxine 2.5%-1% Topical Cream (30gm Bulk)","17.5"
"Pharmacy","hydrocortisone-pramoxine 2.5%-1% Topical Cream w/Appl  (30gm Bulk)","18.34"
"Pharmacy","hydrogen peroxide 1.5% Oral Solution (236mL Bulk)","3.5"
"Pharmacy","hydrogen peroxide 3% Topical Sol (237mL Bulk)","3.5"
"Pharmacy","HYDROmorphone 0.5mg/0.5mL Inj Sol","20.57"
"Pharmacy","HYDROmorphone 1 mg/mL  Inj Sol","6.76"
"Pharmacy","HYDROmorphone 10 mg/mL Inj Sol","14.66"
"Pharmacy","HYDROmorphone 2 mg Tab","3.5"
"Pharmacy","HYDROmorphone 2 mg/mL Inj Sol","6.3"
"Pharmacy","HYDROmorphone 4 mg Tab","3.5"
"Pharmacy","HYDROmorphone 4 mg/mL Inj Sol","10.75"
"Pharmacy","HYDROmorphone 4mg/4mL Oral Soln (4mL UD Liq)","3.5"
"Pharmacy","HYDROmorphone 8 mg Tab","4.84"
"Pharmacy","HYDROmorphone 8 mg Tab-ER","47.39"
"Pharmacy","hydroxychloroquine 200 mg Tab","14.31"
"Pharmacy","hydroxypropyl methylcellulose 0.5% Ophthalmic Solution (15mL Bulk)","6.45"
"Pharmacy","hydroxypropyl methylcellulose 2.5%  Ophthalmic Solution (15mL Bulk)","3.5"
"Pharmacy","hydroxyurea 400 mg Cap","3.5"
"Pharmacy","hydroxyurea 500 mg Cap","4.47"
"Pharmacy","hydrOXYzine hydrochloride 10 mg Tab","3.5"
"Pharmacy","hydrOXYzine hydrochloride 25 mg Tab","3.5"
"Pharmacy","hydrOXYzine hydrochloride 25 mg/mL Sol","84.7"
"Pharmacy","hydrOXYzine hydrochloride 50 mg/mL Sol","93.45"
"Pharmacy","hydrOXYzine hydrochloride Oral Syrup 10 mg/5 mL  (5mL UD)","3.5"
"Pharmacy","hydrOXYzine pamoate 25 mg Cap","3.5"
"Pharmacy","hyoscyamine 0.125 mg Tab","3.55"
"Pharmacy","hyoscyamine 0.125 mg Tab ODT","3.97"
"Pharmacy","hyoscyamine 0.125 mg Tab SL","3.5"
"Pharmacy","hyoscyamine 0.375 mg ER Tab","3.5"
"Pharmacy","hyoscyamine/methena/mblue/phenylsal/sodbiphos 0.12 mg-118 mg-10 mg-36 mg-40.8 mg Cap","9.05"
"Pharmacy","hyoscyamine/methenam/m-blue/phenyl salicyl 0.03 mg-40.8 mg-5.4 mg-18.1 mg Tab","3.5"
"Pharmacy","hyoscyamine/methenam/m-blue/phenyl salicyl 0.12 mg-118 mg-10 mg-36 mg Cap","12.08"
"Pharmacy","hyoscyamine/methenam/m-blue/sodium biphosphat 0.12 mg-120 mg-10 mg-40.8 mg Cap","13.02"
"Pharmacy","hyoscyamine/methenam/m-blue/sodium biphosphat 0.12 mg-81.6 mg-10.8 mg-40.8 mg Tab","10.58"
"Pharmacy","ibandronate 150 mg Tab","486.03"
"Pharmacy","ibrutinib 140 mg Cap","347.59"
"Pharmacy","ibuprofen 100 mg/5 mL Oral Susp (5mL UD Liq)","3.5"
"Pharmacy","ibuprofen 200 mg Tab - Advil","3.5"
"Pharmacy","ibuprofen 200 mg Tab - Motrin","3.5"
"Pharmacy","ibuprofen 200 mg/10 mL Oral Susp (10mL UD)","3.5"
"Pharmacy","ibuprofen 400 mg Tab","3.5"
"Pharmacy","ibuprofen 600 mg Tab","3.5"
"Pharmacy","ibuprofen 800 mg Tab","3.5"
"Pharmacy","iloperidone 2 mg Tab","76.29"
"Pharmacy","iloperidone 4 mg Tab","76.23"
"Pharmacy","iloperidone 6 mg Tab","93.87"
"Pharmacy","imatinib 100 mg Tab","15.91"
"Pharmacy","imatinib 400 mg Tab","1381.31"
"Pharmacy","imipenem-cilastatin 250 mg-250 mg Pow inj","20.96"
"Pharmacy","imipenem-cilastatin 250 mg-250 mg Powder Injection (addv)","41.16"
"Pharmacy","imipenem-cilastatin 500 mg-500 mg Powder Injection (addv)","40.78"
"Pharmacy","imipramine 10 mg Tab","3.5"
"Pharmacy","imipramine 25 mg Tab","3.5"
"Pharmacy","imipramine 50 mg Tab","4.26"
"Pharmacy","imiquimod topical 5% Cream (UD)","64.39"
"Pharmacy","immune globulin 10% IV Solution (50mL SDV)","33.32"
"Pharmacy","indapamide 1.25 mg Tab","4.97"
"Pharmacy","indapamide 2.5 mg Tab","5.42"
"Pharmacy","indomethacin 25 mg Cap","3.5"
"Pharmacy","indomethacin 50 mg Cap","3.5"
"Pharmacy","indomethacin 75 mg ERCap","10.62"
"Pharmacy","influenza vaccine, inactivated (HIGH-DOSE) 0.5mL PF IM","393.27"
"Pharmacy","influenza vaccine, inactivated 0.5mL IM","71.75"
"Pharmacy","influenza vaccine, inactivated 0.5mL PF IM","126.9"
"Pharmacy","influenza virus vaccine, inactivated 0.5mL PF quadrivalent Susp","141.29"
"Pharmacy","influenza virus vaccine, inactivated 0.5mL quadrivalent Susp","138.57"
"Pharmacy","influenza virus vaccine, inactivated adjuvanted PF trivalent 0.5mL IM","309.23"
"Pharmacy","influenza virus vaccine, inactivated mdck cell derived quadrivalent  0.5mL (5mL Vial)","167.95"
"Pharmacy","influenza virus vaccine, inactivated mdck cell derived quadrivalent 0.5mL Syringe","177.19"
"Pharmacy","influenza virus vaccine, inactivated mdck cell derived trivalent 0.5mL PF Syringe","152.25"
"Pharmacy","influenza virus vaccine, live quadrivalent Spray","95.34"
"Pharmacy","insulin aspart 100 units/mL (NovoLOG 10mL MDV){Bulk}","110.48"
"Pharmacy","insulin aspart 100 units/mL (NovoLOG 3mL FlexPen){Bulk}","142.25"
"Pharmacy","insulin aspart-insulin aspart protamine 30 units-70 units/mL (NovoLOG 70/30 10mL MDV){Bulk}","114.59"
"Pharmacy","insulin aspart-insulin aspart protamine 30 units-70 units/mL (NovoLOG 70/30 3mL FlexPen){Bulk}","142.25"
"Pharmacy","insulin degludec 100 units/mL (Tresiba Flex Touch 3mL Pen) (Bulk)","135.71"
"Pharmacy","insulin degludec 200 units/mL (Tresiba Flex Touch 3mL Pen) (Bulk)","271.42"
"Pharmacy","insulin detemir 100 units/mL (Levemir 10mL MDV Bulk)","112.16"
"Pharmacy","insulin detemir 100 units/mL (Levemir 3mL FlexPen or FlexTouch){Bulk}","112.16"
"Pharmacy","insulin glargine 100 units/mL (Lantus 10mL MDV){Bulk}","113.21"
"Pharmacy","insulin glargine 100 units/mL (Lantus Solostar 3mL Pen){Bulk}","113.2"
"Pharmacy","insulin glargine 300 units/mL (Toujeo SoloStar 1.5mL Pen) {Bulk}","315.92"
"Pharmacy","insulin glulisine 100 units/mL (Apidra 10mL MDV){Bulk}","103.91"
"Pharmacy","insulin glulisine 100 units/mL (Apidra Solostar 3mL Pen){Bulk}","133.83"
"Pharmacy","insulin isophane 100 units/mL (NPH 10mL MDV){Bulk}","52.57"
"Pharmacy","insulin isophane-insulin regular human 70 units-30 units/mL (HumuLIN 70/30 10mL MDV){Bulk}","56.49"
"Pharmacy","insulin isophane-insulin regular human 70 units-30 units/mL (HumuLIN 70/30 3mL KwikPen){Bulk}","119.97"
"Pharmacy","insulin isophane-insulin regular human 70 units-30 units/mL (NovoLIN 70/30 10mL MDV){Bulk}","52.57"
"Pharmacy","insulin lispro 100 units/mL (HumaLOG 10mL MDV){Bulk}","105.94"
"Pharmacy","insulin lispro-insulin lispro protamine 25 units-75 units/mL (HumaLOG 75/25 10mL MDV){Bulk}","108.77"
"Pharmacy","insulin lispro-insulin lispro protamine 25 units-75 units/mL (HumaLOG 75/25 3mL FlexPen){Bulk}","136.32"
"Pharmacy","insulin lispro-insulin lispro protamine 50 units-50 units/mL (HumaLOG 50/50 10mL MDV) {Bulk}","108.77"
"Pharmacy","insulin regular 100 units/mL (HumuLIN R 10mL MDV){Bulk}","56.5"
"Pharmacy","insulin regular 100 units/mL (NovoLIN R 10mL MDV){Bulk}","52.57"
"Pharmacy","insulin regular 500 units/mL *HIGH CONCENTRATION* (20mL MDV){Bulk}","312.27"
"Pharmacy","insulin regular 500 units/mL *HIGH CONCENTRATION* (3mL Kwik Pen){Bulk}","401.94"
"Pharmacy","interferon beta-1a 30 mcg/0.5 mL (1 Kit)","28517.79"
"Pharmacy","interferon beta-1a 44 mcg/0.5 mL Sol","5096.03"
"Pharmacy","interferon beta-1b 0.3 mg Powder-inj","1938.13"
"Pharmacy","iohexol 240mg/mL Solution IV (10mL Vial)","21.31"
"Pharmacy","iohexol 300 mg/mL Solution IV (10mL Vial)","19.68"
"Pharmacy","iohexol 300 mg/mL Solution IV (30mL Vial)","5.83"
"Pharmacy","ipratropium 0.03% Nasal Spray (30mL Bulk)","13.03"
"Pharmacy","ipratropium 0.06% Nasal Spray (15mL Bulk)","22.33"
"Pharmacy","ipratropium 500mcg/2.5mL {0.02%} Inh Soln (2.5mL UD)","3.5"
"Pharmacy","ipratropium CFC free 17 mcg/inh Inh Aer (12.9gm Bulk)","117"
"Pharmacy","irbesartan 150 mg Tab","11.75"
"Pharmacy","irbesartan 300 mg Tab","14.12"
"Pharmacy","irbesartan 75 mg Tab","10.21"
"Pharmacy","Iron Complex Vitamin with B12 and Folic Acid Cap","3.5"
"Pharmacy","iron dextran 50 mg/mL IV Sol","50.63"
"Pharmacy","iron polysaccharide (as elemental iron) 200 mg Cap","3.5"
"Pharmacy","iron polysaccharide 150 mg Cap","3.5"
"Pharmacy","iron sucrose 20 mg/mL IV Sol (10mL)","42"
"Pharmacy","iron sucrose 20 mg/mL IV Sol (2.5 mL)","41.65"
"Pharmacy","iron sucrose 20 mg/mL IV Sol (5 mL)","42"
"Pharmacy","isavuconazonium 186 mg Cap","364"
"Pharmacy","isoniazid 100 mg Tab","3.5"
"Pharmacy","isoniazid 300 mg Tab","4.33"
"Pharmacy","isoproterenol 0.2 mg/mL IV Sol 5 mL","1366.99"
"Pharmacy","isosorbide dinitrate 10 mg Tab","3.79"
"Pharmacy","isosorbide dinitrate 20 mg Tab","4.17"
"Pharmacy","isosorbide dinitrate 30 mg Tab","4.59"
"Pharmacy","isosorbide dinitrate 40 mg Cap-ER","14.03"
"Pharmacy","isosorbide dinitrate 40 mg Tab ER","8.32"
"Pharmacy","isosorbide dinitrate 5 mg Tab","3.5"
"Pharmacy","isosorbide mononitrate 10 mg Tab","3.5"
"Pharmacy","isosorbide mononitrate 120 mg ER Tab","3.5"
"Pharmacy","isosorbide mononitrate 20 mg Tab","3.5"
"Pharmacy","isosorbide mononitrate 30 mg ER Tab","3.5"
"Pharmacy","isosorbide mononitrate 60 mg ER Tab","7.2"
"Pharmacy","isradipine 2.5 mg Cap","4.78"
"Pharmacy","isradipine 5 mg Cap","6.99"
"Pharmacy","itraconazole 10 mg/mL Oral Soln (Extemp)","8.2"
"Pharmacy","itraconazole 100 mg Cap","32.56"
"Pharmacy","IV electrolyte Sol (Lypholyte/Nutrilyte) IV Sol","3.5"
"Pharmacy","ivabradine 5 mg Tab","30.07"
"Pharmacy","ivabradine 7.5 mg Tab","30.07"
"Pharmacy","ivermectin 3 mg Tab","19.54"
"Pharmacy","ketamine 100 mg/mL Inj Sol 5mL","6.88"
"Pharmacy","ketamine 50 mg/mL Sol","3.5"
"Pharmacy","ketoconazole 1% Topical Shampoo (125mL Bulk)","3.5"
"Pharmacy","ketoconazole 2% Topical Cream (15gm Bulk)","7.21"
"Pharmacy","ketoconazole 2% Topical Cream (60gm Bulk)","16.16"
"Pharmacy","ketoconazole 2% Topical Shampoo (120mL Bulk)","3.5"
"Pharmacy","ketoconazole 200 mg Tab","11.06"
"Pharmacy","ketoprofen 50 mg Cap","3.9"
"Pharmacy","ketoprofen 75 mg Cap","4.34"
"Pharmacy","ketorolac 0.4% Ophthalmic Solution (5mL Bulk)","46.82"
"Pharmacy","ketorolac 0.45% Ophthalmic Solution (1EA UD)","42.48"
"Pharmacy","ketorolac 0.5% Ophthalmic Solution (3mL Bulk)","56.85"
"Pharmacy","ketorolac 0.5% Ophthalmic Solution (5mL Bulk)","74.81"
"Pharmacy","ketorolac 10 mg Tab","7.55"
"Pharmacy","ketorolac 15 mg/mL Sol","11.05"
"Pharmacy","ketorolac 30 mg/mL IV Sol (1 mL Cart)","17.64"
"Pharmacy","ketorolac 30 mg/mL IV Sol (1mL Vial)","3.65"
"Pharmacy","ketorolac 30 mg/mL IV Sol (2mL Vial)","6.05"
"Pharmacy","ketotifen 0.025% Ophthalmic Solution (10mL Bulk)","3.63"
"Pharmacy","ketotifen 0.025% Ophthalmic Solution (5mL Bulk)","8.53"
"Pharmacy","labetalol 100 mg Tab","7.98"
"Pharmacy","labetalol 200 mg Tab","3.5"
"Pharmacy","labetalol 300 mg Tab","16.43"
"Pharmacy","labetalol 5 mg/mL IV Sol (20mL Vial)","3.5"
"Pharmacy","labetalol 5 mg/mL IV Sol 4mL","7.1"
"Pharmacy","lacosamide 100 mg Tab","43.75"
"Pharmacy","lacosamide 100mg/10mL Oral Soln (10mL UD Liq)","4.71"
"Pharmacy","lacosamide 150 mg Tab","50.97"
"Pharmacy","lacosamide 200 mg Tab","46.35"
"Pharmacy","lacosamide 200 mg/20 mL Sol","11.57"
"Pharmacy","lacosamide 50 mg Tab","27.99"
"Pharmacy","lactase 3000 units Tab","3.5"
"Pharmacy","lactase 9000 units Tab","3.5"
"Pharmacy","Lactated RingerÕs IV sol 1000mL","3.5"
"Pharmacy","Lactated RingerÕs IV sol 500mL","3.5"
"Pharmacy","lactobacillus acidophilus - Tab Chew","3.5"
"Pharmacy","lactobacillus acidophilus and bulgaricus 1packet Oral Granules (1EA UD)","7.11"
"Pharmacy","lactobacillus acidophilus and bulgaricus Oral Tab","3.5"
"Pharmacy","lactobacillus acidophilus cap","4.29"
"Pharmacy","lactobacillus acidophilus tab","3.5"
"Pharmacy","lactobacillus acidophilus/casei/rhamnosus - Cap DR","6.55"
