"PROC #","Procedure Description","IP Price","OP Price"
1020,GEMFIBROZIL 600 MG TABLET,3,3,*
1021,GENTAMICIN 0.1 % TOPICAL OINTMENT,381,381,*
1022,GENTAMICIN 40 MG/ML INJECTION SOLUTION,10,10,*
1023,GENTAMICIN 0.3 % (3 MG/GRAM) EYE OINTMENT,129,129,*
1024,GENTAMICIN 0.3 % EYE DROPS,49,49,*
1025,GLYBURIDE 5 MG TABLET,3,3,*
1026,HYDROMORPHONE 2 MG/ML INJECTION SYRINGE,52,52,*
1027,GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION,82,82,*
1028,GUAIFENESIN 100 MG/5 ML ORAL LIQUID,3,3,*
1029,HALOPERIDOL 1 MG TABLET,3,3,*
1030,HALOPERIDOL 5 MG TABLET,3,3,*
1031,HALOPERIDOL LACTATE 5 MG/ML INJECTION SOLUTION,10,10,*
1032,HALOPERIDOL 2 MG/ML ORAL CONCENTRATE,3,3,*
1033,"HEPARIN, PORCINE (PF) 10 UNIT/ML INTRAVENOUS SYRINGE",5,5,*
1034,HOMATROPINE 5 % EYE DROPS,216,216,*
1035,HYDRALAZINE 20 MG/ML INJECTION SOLUTION,35,35,*
1036,HYDRALAZINE 10 MG TABLET,3,3,*
1037,HYDRALAZINE 25 MG TABLET,3,3,*
1038,HYDROCHLOROTHIAZIDE 25 MG TABLET,3,3,*
1039,HYDROCORTISONE 1 % TOPICAL CREAM,16,16,*
1040,HYDROCORTISONE 2.5 % TOPICAL CREAM,38,38,*
1041,HYDROCORTISONE 20 MG TABLET,3,3,*
1042,HYDROCORTISONE ACETATE 25 MG RECTAL SUPPOSITORY,9,9,*
1043,HYDROMORPHONE 2 MG TABLET,5,5,*
1044,HYDROXYZINE HCL 50 MG/ML INTRAMUSCULAR SOLUTION,59,59,*
1045,HYDROXYZINE HCL 10 MG/5 ML ORAL SOLUTION,2,2,*
1046,HYDROXYZINE HCL 10 MG TABLET,3,3,*
1047,HYDROXYZINE HCL 25 MG TABLET,3,3,*
1048,HYDROXYZINE PAMOATE 25 MG CAPSULE,3,3,*
1049,IBUPROFEN 200 MG TABLET,3,3,*
1050,IBUPROFEN 400 MG TABLET,3,3,*
1051,IBUPROFEN 600 MG TABLET,3,3,*
1052,IBUPROFEN 800 MG TABLET,3,3,*
1053,IMIPRAMINE 10 MG TABLET,3,3,*
1054,IMIPRAMINE 25 MG TABLET,3,3,*
1055,INDAPAMIDE 2.5 MG TABLET,3,3,*
1056,INDOMETHACIN 25 MG CAPSULE,5,5,*
1057,ISONIAZID 300 MG TABLET,3,3,*
1058,ISOSORBIDE DINITRATE 10 MG TABLET,3,3,*
1059,ISOSORBIDE DINITRATE 20 MG TABLET,3,3,*
1060,MISOPROSTOL 200 MCG TABLET,3,3,*
1061,ISOSORBIDE DINITRATE 5 MG TABLET,3,3,*
1062,KETAMINE 50 MG/ML INJECTION SOLUTION,4,4,*
1063,CEFEPIME 1 GRAM/50 ML IN DEXTROSE 5 % INTRAVENOUS PIGGYBACK,159,159,*
1064,LACTATED RINGERS INTRAVENOUS SOLUTION,43,43,*
1065,LEUCOVORIN CALCIUM 100 MG SOLUTION FOR INJECTION,135,135,*
1066,FERROUS SULFATE 220 MG (44 MG IRON)/5 ML ORAL ELIXIR,1,1,*
1067,LEVOTHYROXINE 25 MCG TABLET,3,3,*
1068,LEVOTHYROXINE 50 MCG TABLET,3,3,*
1069,LEVOTHYROXINE 75 MCG TABLET,3,3,*
1070,LEVOTHYROXINE 100 MCG TABLET,3,3,*
1071,LEVOTHYROXINE 125 MCG TABLET,3,3,*
1072,LEVOTHYROXINE 150 MCG TABLET,3,3,*
1073,LIDOCAINE 2 % MUCOSAL JELLY,3,3,*
1074,LIDOCAINE 10 MG/ML (1 %) INJECTION SOLUTION,8,8,*
1075,LIDOCAINE 20 MG/ML (2 %) INJECTION SOLUTION,27,27,*
1076,LIDOCAINE HCL 20 MG/ML (2 %) IJ SOLN (ANES ONLY - NO CHARGE),0,0,*
1077,LINDANE 1 % SHAMPOO,161,161,*
1078,LISINOPRIL 20 MG TABLET,3,3,*
1079,LITHIUM CARBONATE 300 MG CAPSULE,3,3,*
1080,LITHIUM CITRATE 8 MEQ/5 ML (5 ML) ORAL SOLUTION,3,3,*
1081,LOPERAMIDE 2 MG CAPSULE,3,3,*
1082,LOPERAMIDE 1 MG/5 ML ORAL LIQUID,1,1,*
1083,LORAZEPAM 1 MG TABLET,5,5,*
1084,LOXAPINE SUCCINATE 5 MG CAPSULE,3,3,*
1085,MAGNESIUM CITRATE ORAL SOLUTION,3,3,*
1086,MAGNESIUM SULFATE 4 MEQ/ML (50 %) INJECTION SOLUTION,6,6,*
1087,SULFACETAMIDE SODIUM 10 % EYE DROPS,257,257,*
1088,MANNITOL 25 % INTRAVENOUS SOLUTION,23,23,*
1089,MEDROXYPROGESTERONE 5 MG TABLET,3,3,*
1090,MEGESTROL 20 MG TABLET,3,3,*
1091,MEGESTROL 40 MG TABLET,3,3,*
1092,METHADONE 5 MG/5 ML ORAL SOLUTION,1,1,*
1093,METHADONE 10 MG TABLET,5,5,*
1094,METHADONE 5 MG TABLET,5,5,*
1095,METHOCARBAMOL 500 MG TABLET,3,3,*
1096,CLINDAMYCIN 150 MG/ML INJECTION SOLUTION,44,44,*
1097,PROPARACAINE 0.5 % EYE DROPS,25,25,*
1098,METHYLDOPA 250 MG TABLET,3,3,*
1099,METHYLENE BLUE (ANTIDOTE) 1 % (10 MG/ML) INTRAVENOUS SOLUTION,205,205,*
1100,METHYLPREDNISOLONE ACETATE 40 MG/ML SUSPENSION FOR INJECTION,54,54,*
1101,METOCLOPRAMIDE 5 MG/5 ML ORAL SOLUTION,1,1,*
1102,METOCLOPRAMIDE 10 MG TABLET,3,3,*
1103,METOCLOPRAMIDE 5 MG TABLET,3,3,*
1104,METOPROLOL TARTRATE 5 MG/5 ML INTRAVENOUS SOLUTION,10,10,*
1105,METOPROLOL TARTRATE 50 MG TABLET,3,3,*
1106,METRONIDAZOLE 250 MG TABLET,3,3,*
1107,METRONIDAZOLE 500 MG/100 ML-SODIUM CHLORIDE(ISO) INTRAVENOUS PIGGYBACK,13,13,*
1108,MICONAZOLE NITRATE 2 % TOPICAL CREAM,3,3,*
1109,MICONAZOLE NITRATE 2 % VAGINAL CREAM,6,6,*
1110,MINERAL OIL ORAL,1,1,*
1111,MINOXIDIL 10 MG TABLET,3,3,*
1112,MINOXIDIL 2.5 MG TABLET,3,3,*
1113,REVERSAL OF LIFE THREATENING BLEEDING PROTOCOL CMC,0,0,*
1114,MORPHINE 2 MG/ML INTRAVENOUS SYRINGE,25,25,*
1115,AZITHROMYCIN 500 MG IN 250 ML D5W LOADABLE MIXTURE,91,91,*
1116,MORPHINE 15 MG IMMEDIATE RELEASE TABLET,6,6,*
1117,MULTIVITAMIN WITH FOLIC ACID 400 MCG TABLET,3,3,*
1118,NADOLOL 40 MG TABLET,3,3,*
1119,NALOXONE 0.4 MG/ML INJECTION SOLUTION,"1,200.50","1,200.50",*
1120,NAPROXEN 250 MG TABLET,5,5,*
1121,NAPROXEN 375 MG TABLET,5,5,*
1122,NEOMYCIN 500 MG TABLET,3,3,*
1123,COMPOUNDING VEHICLE SUSPENSION SUGAR-FREE NO.20 ORAL,5,5,*
1124,"NIACIN ER 250 MG CAPSULE,EXTENDED RELEASE",3,3,*
1125,"NIACIN ER 500 MG TABLET,EXTENDED RELEASE 24 HR",4,4,*
1126,NIFEDIPINE 10 MG CAPSULE,3,3,*
1127,ASCORBIC ACID (VITAMIN C) 500 MG/ML INJECTION SOLUTION,566,566,*
1128,NITROGLYCERIN 50 MG/10 ML (5 MG/ML) INTRAVENOUS SOLUTION,29,29,*
1129,"NITROGLYCERIN ER 2.5 MG CAPSULE,EXTENDED RELEASE",3,3,*
1130,"NITROGLYCERIN ER 6.5 MG CAPSULE,EXTENDED RELEASE",3,3,*
1131,FLUTICASONE 100 MCG-VILANTEROL 25 MCG/DOSE POWDER FOR INHALATION,221,221,*
1132,NITROGLYCERIN 0.4 MG SUBLINGUAL TABLET,0,0,*
1133,NORTRIPTYLINE 10 MG CAPSULE,3,3,*
1134,NORTRIPTYLINE 25 MG CAPSULE,3,3,*
1135,"NYSTATIN 100,000 UNIT/GRAM TOPICAL CREAM",14,14,*
1136,"NYSTATIN 100,000 UNIT/GRAM TOPICAL OINTMENT",17,17,*
1137,"NYSTATIN 100,000 UNIT/ML ORAL SUSPENSION",95,95,*
1138,"NYSTATIN-TRIAMCINOLONE 100,000 UNIT/G-0.1 % TOPICAL CREAM",110,110,*
1139,OXYBUTYNIN CHLORIDE 5 MG TABLET,3,3,*
1140,OXYCODONE-ACETAMINOPHEN 5 MG-325 MG TABLET,5,5,*
1141,OXYMETAZOLINE 0.05 % NASAL SPRAY,3,3,*
1142,OXYTOCIN 10 UNIT/ML INJECTION SOLUTION,10,10,*
1143,WARFARIN 10 MG PO TAB,3,3,*
1144,PENICILLIN V POTASSIUM 250 MG/5 ML ORAL SOLUTION,1,1,*
1145,PENICILLIN V POTASSIUM 250 MG TABLET,3,3,*
1146,PERPHENAZINE 2 MG TABLET,17,17,*
1147,PHENAZOPYRIDINE 100 MG TABLET,3,3,*
1148,FENTANYL 1000 MCG IN NS 50 ML LOADABLE MIXTURE,359,359,*
1149,CEFAZOLIN 2 GRAM/50 ML IN DEXTROSE (ISO-OSMOTIC) INTRAVENOUS PIGGYBACK,102,102,*
1150,PHENYLEPHRINE 10 MG/ML INJECTION SOLUTION,62,62,*
1151,NAFCILLIN 2 GRAM SOLUTION FOR INJECTION,162,162,*
1152,PHENYTOIN SODIUM 50 MG/ML INTRAVENOUS SOLUTION,15,15,*
1153,PHYSOSTIGMINE 1 MG/ML INJECTION SOLUTION,140,140,*
1154,PILOCARPINE 1 % EYE DROPS,556,556,*
1155,LIDOCAINE 4 % LARYNGOTRACHEAL SOLUTION,246,246,*
1156,TOCILIZUMAB 200 MG/10 ML (20 MG/ML) INTRAVENOUS SOLUTION,"3,881.50","3,881.50",*
1157,FENTANYL(PF) (SUBLIMAZE) 1250 MCG IN NS 25 ML PCA (COMFORT CARE OPIOID TOLERANT),121,121,*
1158,POTASSIUM CHLORIDE 10 MEQ/100ML IN STERILE WATER INTRAVENOUS PIGGYBACK,32,32,*
1159,POTASSIUM CHLORIDE 20 MEQ/15 ML ORAL LIQUID,22,22,*
1160,POTASSIUM PHOSPHATES-MBASIC AND DIBASIC 3 MMOL/ML INTRAVENOUS SOLUTION,9,9,*
1161,MYCOPHENOLATE MOFETIL 250 MG CAPSULE,5,5,*
1162,"PREDNISOLONE ACETATE 1 % EYE DROPS,SUSPENSION",398,398,*
1163,PREDNISONE 5 MG/5 ML ORAL SOLUTION,15,15,*
1164,PREDNISONE 1 MG TABLET,5,5,*
1165,PREDNISONE 10 MG TABLET,5,5,*
1166,PREDNISONE 20 MG TABLET,5,5,*
1167,PREDNISONE 5 MG TABLET,5,5,*
1168,PRIMIDONE 250 MG TABLET,3,3,*
1169,PROBENECID 500 MG TABLET,7,7,*
1170,VALPROIC ACID (AS SODIUM SALT) 250 MG/5 ML (5 ML) ORAL SOLUTION,3,3,*
1171,PROCHLORPERAZINE MALEATE 5 MG TABLET,3,3,*
1172,PROMETHAZINE 25 MG/ML INJECTION SOLUTION,11,11,*
1173,PROMETHAZINE 6.25 MG/5 ML SYRUP,3,3,*
1174,PROMETHAZINE 25 MG TABLET,3,3,*
1175,PERMETHRIN 1 % TOPICAL LIQUID,112,112,*
1176,PROPRANOLOL 20 MG TABLET,3,3,*
1177,PROPYLTHIOURACIL 50 MG TABLET,3,3,*
1178,PROTAMINE 10 MG/ML INTRAVENOUS SOLUTION,106,106,*
1179,PSEUDOEPHEDRINE 30 MG TABLET,3,3,*
1180,PYRAZINAMIDE 500 MG TABLET,4,4,*
1181,PYRIDOXINE (VITAMIN B6) 50 MG TABLET,3,3,*
1182,DIGOXIN 0.25 MG/5 ML (5 ML) ORAL SOLUTION,7,7,*
1183,"SODIUM CHLORIDE 0.9 %, BACTERIOSTATIC INJECTION SOLUTION",12,12,*
1184,SALSALATE 500 MG TABLET,3,3,*
1185,SILVER SULFADIAZINE 1 % TOPICAL CREAM,408,408,*
1186,SIMETHICONE 80 MG CHEWABLE TABLET,3,3,*
1187,EMTRICITABINE 200 MG-TENOFOVIR DISOPROXIL FUMARATE 300 MG TABLET,87,87,*
1188,SODIUM BICARBONATE 1 MEQ/ML (8.4 %) INTRAVENOUS SOLUTION,123,123,*
1189,SODIUM BICARBONATE 650 MG TABLET,3,3,*
1190,SODIUM CHLORIDE 0.45 % INTRAVENOUS SOLUTION,43,43,*
1191,SODIUM CHLORIDE 0.9 % INJECTION SOLUTION,11,11,*
1192,SODIUM CHLORIDE 3 % INTRAVENOUS INJECTION SOLUTION,75,75,*
1193,SODIUM CHLORIDE 4 MEQ/ML INTRAVENOUS SOLUTION,5,5,*
1194,SODIUM CHLORIDE 0.9 % FOR NEBULIZATION,5,5,*
1195,"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV SOLN (PEDS ANES ONLY)",320,320,*
1196,SORBITOL 70 % SOLUTION,3,3,*
1197,SPIRONOLACTONE 25 MG TABLET,3,3,*
1198,"WATER FOR IRRIGATION, STERILE SOLUTION",43,43,*
1199,SUCCINYLCHOLINE CHLORIDE 20 MG/ML INJECTION SOLUTION,26,26,*
1200,SULFAMETHOXAZOLE 800 MG-TRIMETHOPRIM 160 MG TABLET,3,3,*
1201,SULFAMETHOXAZOLE 400 MG-TRIMETHOPRIM 80 MG/5 ML INTRAVENOUS SOLUTION,128,128,*
1202,SULFAMETHOXAZOLE 400 MG-TRIMETHOPRIM 80 MG TABLET,3,3,*
1203,"SULFASALAZINE 500 MG TABLET,DELAYED RELEASE",3,3,*
1204,SULINDAC 200 MG TABLET,3,3,*
1205,TAMOXIFEN 10 MG TABLET,3,3,*
1206,TEMAZEPAM 15 MG CAPSULE,3,3,*
1207,INSULIN PUMP (PT'S OWN) USING REGULAR INSULIN (100 UNITS/ML),0,0,*
1208,APIXABAN 2.5 MG TABLET,12,12,*
1209,TETRAHYDROZOLINE 0.05 % EYE DROPS,3,3,*
1210,THIAMINE HCL (VITAMIN B1) 100 MG/ML INJECTION SOLUTION,40,40,*
1211,THIAMINE MONONITRATE (VITAMIN B1) 100 MG TABLET,5,5,*
1212,THIORIDAZINE 10 MG TABLET,3,3,*
1213,THIORIDAZINE 25 MG TABLET,3,3,*
1214,THIOTHIXENE 1 MG CAPSULE,3,3,*
1215,THIOTHIXENE 5 MG CAPSULE,3,3,*
1216,AZTREONAM (AZACTAM) 2 G IN 100 ML NS LOADABLE MIXTURE,708,708,*
1217,TOBRAMYCIN 40 MG/ML INJECTION SOLUTION,22,22,*
1218,TOBRAMYCIN 0.3 % EYE DROPS,50,50,*
1219,TRAZODONE 150 MG TABLET,3,3,*
1220,TRAZODONE 50 MG TABLET,3,3,*
1221,TRIAMCINOLONE ACETONIDE 0.1 % TOPICAL CREAM,11,11,*
1222,TRIAMCINOLONE ACETONIDE 0.1 % TOPICAL OINTMENT,5,5,*
1223,TRIAMTERENE 37.5 MG-HYDROCHLOROTHIAZIDE 25 MG TABLET,3,3,*
1224,TRIHEXYPHENIDYL 2 MG TABLET,3,3,*
1225,NAFCILLIN 2 G/100 ML IN D5W LOADABLE MIXTURE,187,187,*
1226,TROPICAMIDE 1 % EYE DROPS,69,69,*
1227,LACTULOSE 20 GRAM/30 ML ORAL SOLUTION,10,10,*
1228,VALPROIC ACID 250 MG CAPSULE,3,3,*
1229,"VANCOMYCIN 1,000 MG INTRAVENOUS INJECTION",55,55,*
1230,VANCOMYCIN 500 MG INTRAVENOUS SOLUTION,27,27,*
1231,VASOPRESSIN 20 UNIT/ML INTRAVENOUS SOLUTION,917,917,*
1232,VERAPAMIL 2.5 MG/ML INTRAVENOUS SOLUTION,321,321,*
1233,VERAPAMIL 80 MG TABLET,3,3,*
1234,"VITAMIN E (DL, ACETATE) 400 UNIT CAPSULE",3,3,*
1235,WARFARIN 10 MG TABLET,3,3,*
1236,WARFARIN 2 MG TABLET,3,3,*
1237,WARFARIN 2.5 MG TABLET,3,3,*
1238,WARFARIN 5 MG TABLET,3,3,*
1239,WARFARIN 7.5 MG TABLET,3,3,*
1240,ZINC OXIDE 20 % TOPICAL OINTMENT,4,4,*
1241,BUTALBITAL-ACETAMINOPHEN-CAFFEINE 50 MG-325 MG-40 MG TABLET,3,3,*
1242,ACYCLOVIR 200 MG CAPSULE,3,3,*
1243,ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION,40,40,*
1244,"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION",361,361,*
1245,FLUTICASONE FUROATE 200 MCG/ACTUATION BLISTER POWDER FOR INHALATION,156,156,*
1246,AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION,43,43,*
1247,AMIODARONE 200 MG TABLET,3,3,*
1248,RIVAROXABAN 10 MG TABLET,15,15,*
1249,ACETAMINOPHEN DYE FREE 160 MG/5 ML SUSPENSION (CHILDREN'S FORMULA),46,46,*
1250,AMILORIDE 5 MG TABLET,3,3,*
1251,BUMETANIDE 0.25 MG/ML INJECTION SOLUTION,26,26,*
1252,BUMETANIDE 1 MG TABLET,3,3,*
1253,BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IN 8.25 % DEXTROSE INJECTION,31,31,*
1254,BUPROPION HCL 100 MG TABLET,3,3,*
1255,BUPROPION HCL 75 MG TABLET,3,3,*
1256,BUSPIRONE 5 MG TABLET,3,3,*
1257,FLECAINIDE 100 MG TABLET,3,3,*
1258,CALCITRIOL 0.25 MCG CAPSULE,3,3,*
1259,CALCIUM CARBONATE 200 MG CALCIUM (500 MG) CHEWABLE TABLET,3,3,*
1260,SACUBITRIL 97 MG-VALSARTAN 103 MG TABLET,94,94,*
1261,CAPTOPRIL 12.5 MG TABLET,3,3,*
1262,CAPTOPRIL 25 MG TABLET,3,3,*
1263,CARBIDOPA 10 MG-LEVODOPA 100 MG TABLET,3,3,*
1264,CARBIDOPA 25 MG-LEVODOPA 100 MG TABLET,3,3,*
1265,CARBIDOPA 25 MG-LEVODOPA 250 MG TABLET,3,3,*
1266,CARTEOLOL 1 % EYE DROPS,54,54,*
1267,CEFADROXIL 500 MG CAPSULE,5,5,*
1268,MORPHINE 10 MG/5 ML ORAL SOLUTION,16,16,*
1269,CEFTRIAXONE (ROCEPHIN) 2 G IN 50 ML NS LOADABLE MIXTURE,123,123,*
1270,CEFTRIAXONE 250 MG SOLUTION FOR INJECTION,18,18,*
1271,CEFTRIAXONE 500 MG SOLUTION FOR INJECTION,26,26,*
1272,MONTELUKAST 5 MG CHEWABLE TABLET,3,3,*
1273,CEFUROXIME AXETIL 250 MG TABLET,3,3,*
1274,HYDROCORTISONE 2.5 % TOPICAL OINTMENT,34,34,*
1275,CEPHALEXIN 250 MG CAPSULE,3,3,*
1276,CEPHALEXIN 500 MG CAPSULE,3,3,*
1277,CEPHALEXIN 250 MG/5 ML ORAL SUSPENSION,25,25,*
1278,CHLORHEXIDINE GLUCONATE 0.12 % MOUTHWASH,31,31,*
1279,CHOLESTYRAMINE (WITH SUGAR) 4 GRAM POWDER FOR SUSP IN A PACKET,3,3,*
1280,PIPERACILLIN/TAZOBACTAM 3.375 GM IVPB D5W LOADABLE MIXTURE,139,139,*
1281,CIPROFLOXACIN 0.3 % EYE DROPS,6,6,*
1282,FENTANYL (PF) 2 MCG/ML-BUPIVACAINE 0.125 %-NACL INJECTION SOLUTION,235,235,*
1283,CLINDAMYCIN 600 MG/50 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,90,90,*
1284,CLINDAMYCIN IN NS 900 MG/50 ML IVPB (LOADABLE MIXTURE),212,212,*
1285,CLOBETASOL 0.05 % TOPICAL CREAM,128,128,*
1286,CLOBETASOL 0.05 % TOPICAL OINTMENT,14,14,*
1287,CLOMIPRAMINE 25 MG CAPSULE,18,18,*
1288,CLONAZEPAM 0.5 MG TABLET,3,3,*
1289,CLONAZEPAM 1 MG TABLET,3,3,*
1290,CLOTRIMAZOLE 10 MG TROCHE,3,3,*
1291,SACUBITRIL 24 MG-VALSARTAN 26 MG TABLET,12,12,*
1292,DANTROLENE 25 MG CAPSULE,3,3,*
1293,DEMECLOCYCLINE 150 MG TABLET,8,8,*
1294,DEXTROSE 5 % AND LACTATED RINGERS INTRAVENOUS SOLUTION,43,43,*
1295,DIHYDROERGOTAMINE 1 MG/ML INJECTION SOLUTION,809,809,*
1296,DILTIAZEM 5 MG/ML INTRAVENOUS SOLUTION,22,22,*
1297,DOXAZOSIN 4 MG TABLET,3,3,*
1298,ENALAPRIL MALEATE 10 MG TABLET,3,3,*
1299,ENALAPRIL MALEATE 2.5 MG TABLET,3,3,*
1300,"HEPARIN (PORCINE) 25,000 UNIT/500 ML IN 0.45 % SODIUM CHLORIDE IV SOLN",50,50,*
1301,ENALAPRILAT 1.25 MG/ML INTRAVENOUS SOLUTION,17,17,*
1302,ESMOLOL 100 MG/10 ML (10 MG/ML) INTRAVENOUS SOLUTION,5,5,*
1303,ESTRADIOL 0.5 MG TABLET,3,3,*
1304,ETHAMBUTOL 100 MG TABLET,3,3,*
1305,ETHAMBUTOL 400 MG TABLET,3,3,*
1306,PILOCARPINE 5 MG TABLET,3,3,*
1307,FAMOTIDINE 20 MG TABLET,3,3,*
1308,FINASTERIDE 5 MG TABLET,3,3,*
1309,FLUCONAZOLE 100 MG TABLET,3,3,*
1310,RALTEGRAVIR 400 MG TABLET,41,41,*
1311,FLUCONAZOLE 200 MG/100 ML IN SOD. CHLORIDE (ISO) INTRAVENOUS PIGGYBACK,54,54,*
1312,FLUDROCORTISONE 0.1 MG TABLET,3,3,*
1313,FLUMAZENIL 0.1 MG/ML INTRAVENOUS SOLUTION,43,43,*
1314,INSULIN BOLUS FROM PATIENT'S OWN SQ PUMP,0,0,*
1315,FLUOXETINE 10 MG CAPSULE,3,3,*
1316,FLUOXETINE 20 MG CAPSULE,3,3,*
1317,MORPHINE 30 MG/30 ML (1 MG/ML) IV SPCA OPIOID TOLERANT,141,141,*
1318,GLIPIZIDE 5 MG TABLET,3,3,*
1319,"LIDOCAINE 20 MG/ML (2 %)-EPINEPHRINE 1:100,000 INJECTION SOLUTION",23,23,*
1320,GUANFACINE 1 MG TABLET,3,3,*
1321,HALOPERIDOL DECANOATE 50 MG/ML INTRAMUSCULAR SOLUTION,312,312,*
1322,"HEPARIN (PORCINE) 5,000 UNIT/ML INJECTION SOLUTION",16,16,*
1323,HYDROXYCHLOROQUINE 200 MG TABLET,3,3,*
1324,HYDROXYUREA 500 MG CAPSULE,3,3,*
1325,SUCRALFATE 100 MG/ML ORAL SUSPENSION,11,11,*
1326,IBUPROFEN 100 MG/5 ML ORAL SUSPENSION,3,3,*
1327,ISOSORBIDE MONONITRATE 20 MG TABLET,3,3,*
1328,IDARUCIZUMAB 2.5 GRAM/50 ML INTRAVENOUS SOLUTION,"8,706.50","8,706.50",*
1329,KETOCONAZOLE 2 % TOPICAL CREAM,32,32,*
1330,KETOROLAC 60 MG/2 ML INTRAMUSCULAR SOLUTION,10,10,*
1331,KETOROLAC 10 MG TABLET,3,3,*
1332,LABETALOL 5 MG/ML INTRAVENOUS SOLUTION,3,3,*
1333,LABETALOL 100 MG TABLET,3,3,*
1334,LABETALOL 200 MG TABLET,3,3,*
1335,AMMONIUM LACTATE 12 % LOTION,6,6,*
1336,LEVOBUNOLOL 0.5 % EYE DROPS,198,198,*
1337,LEVOTHYROXINE 88 MCG TABLET,3,3,*
1338,LEVOTHYROXINE 112 MCG TABLET,3,3,*
1339,UREA (BULK) 100 % POWDER,51,51,*
1340,"LIDOCAINE-EPINEPHRINE (PF) 2 %-1:200,000 INJECTION SOLUTION",50,50,*
1341,LISINOPRIL 10 MG TABLET,3,3,*
1342,LISINOPRIL 5 MG TABLET,3,3,*
1343,"LITHIUM CARBONATE ER 300 MG TABLET,EXTENDED RELEASE",3,3,*
1344,INSULIN PUMP (PT'S OWN) USING LISPRO INSULIN (100 UNITS/ML),0,0,*
1345,LORATADINE 10 MG TABLET,3,3,*
1346,LORAZEPAM 2 MG/ML INJECTION SOLUTION,71,71,*
1347,MAGNESIUM OXIDE 400 MG (241.3 MG MAGNESIUM) TABLET,3,3,*
1348,MEGESTROL 400 MG/10 ML (10 ML) ORAL SUSPENSION,4,4,*
1349,METFORMIN 500 MG TABLET,3,3,*
1350,METHENAMINE HIPPURATE 1 GRAM TABLET,3,3,*
1351,METHIMAZOLE 5 MG TABLET,3,3,*
1352,METHYLPREDNISOLONE SOD SUCC (PF) 40 MG/ML SOLUTION FOR INJECTION,58,58,*
1353,"POTASSIUM CHLORIDE ER 10 MEQ TABLET,EXTENDED RELEASE(PART/CRYST)",3,3,*
1354,METOLAZONE 2.5 MG TABLET,3,3,*
1355,MIDAZOLAM 1 MG/ML INJECTION SOLUTION,9,9,*
1356,MIDAZOLAM (PF) 1 MG/ML INJECTION SOLUTION,26,26,*
1357,MISOPROSTOL 100 MCG TABLET,3,3,*
1358,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL SOLUTION,1,1,*
1359,MUPIROCIN 2 % TOPICAL OINTMENT,112,112,*
1360,NABUMETONE 500 MG TABLET,3,3,*
1361,ZINC OXIDE-COD LIVER OIL 40 % TOPICAL PASTE,7,7,*
1362,GADOXETATE 2.5 MMOL/10 ML (181.43 MG/ML) INTRAVENOUS SOLUTION,144,144,*
1363,NITROFURANTOIN MONOHYDRATE/MACROCRYSTALS 100 MG CAPSULE,4,4,*
1364,NOREPINEPHRINE BITARTRATE 1 MG/ML INTRAVENOUS SOLUTION,252,252,*
1365,OXYCODONE 5 MG TABLET,5,5,*
1366,NEOSTIGMINE METHYLSULFATE 1 MG/ML INTRAVENOUS SOLUTION,100,100,*
1367,PAROXETINE 20 MG TABLET,3,3,*
1368,PHENTOLAMINE 5 MG INJECTION SOLUTION,389,389,*
1369,POLYSACCHARIDE IRON COMPLEX 150 MG IRON CAPSULE,3,3,*
1370,POTASSIUM CHLORIDE 20 MEQ/100ML IN STERILE WATER INTRAVENOUS PIGGYBACK,34,34,*
1371,PRAVASTATIN 10 MG TABLET,3,3,*
1372,PRAVASTATIN 20 MG TABLET,3,3,*
1373,PRIMIDONE 50 MG TABLET,3,3,*
1374,PROMETHAZINE 12.5 MG RECTAL SUPPOSITORY,17,17,*
1375,PROMETHAZINE 25 MG RECTAL SUPPOSITORY,13,13,*
1376,PROPAFENONE 150 MG TABLET,3,3,*
1377,INSULIN PROTOCOL: DIABETIC KETOACIDOSIS,0,0,*
1378,PYRIDOSTIGMINE BROMIDE 60 MG TABLET,3,3,*
1379,FLUVOXAMINE 50 MG TABLET,3,3,*
1380,RANITIDINE 150 MG TABLET,3,3,*
1381,RIFAMPIN 150 MG CAPSULE,3,3,*
1382,RIFAMPIN 300 MG CAPSULE,3,3,*
1383,SENNOSIDES 8.6 MG TABLET,3,3,*
1384,SERTRALINE 100 MG TABLET,3,3,*
1385,SERTRALINE 50 MG TABLET,3,3,*
1386,SIMVASTATIN 10 MG TABLET,3,3,*
1387,SIMVASTATIN 20 MG TABLET,3,3,*
1388,SODIUM CHLORIDE 0.9 % IRRIGATION SOLUTION,43,43,*
1389,SOTALOL 80 MG TABLET,3,3,*
1390,VANCOMYCIN 1 G IN 250 ML D5W LOADABLE MIXTURE,75,75,*
1391,SUCRALFATE 1 GRAM TABLET,3,3,*
1392,SUFENTANIL CITRATE 50 MCG/ML INTRAVENOUS SOLUTION,27,27,*
1393,TERBUTALINE 1 MG/ML SUBCUTANEOUS SOLUTION,22,22,*
